dataset_key,city,n,model,scale_estimator,days_evaluated,days_rse_gt_10pct,fraction_days_rse_gt_10pct
lucknow_lcs,Lucknow,18,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,18,lognormal,standard,365,21,0.057534246575342465
lucknow_lcs,Lucknow,18,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,19,normal,standard,365,20,0.0547945205479452
lucknow_lcs,Lucknow,19,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,19,lognormal,standard,365,20,0.0547945205479452
lucknow_lcs,Lucknow,19,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,20,normal,standard,365,19,0.052054794520547946
lucknow_lcs,Lucknow,20,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,20,lognormal,standard,365,18,0.049315068493150684
lucknow_lcs,Lucknow,20,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,21,normal,standard,365,18,0.049315068493150684
lucknow_lcs,Lucknow,21,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,21,lognormal,standard,365,17,0.04657534246575343
lucknow_lcs,Lucknow,21,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,22,normal,standard,365,16,0.043835616438356165
lucknow_lcs,Lucknow,22,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,22,lognormal,standard,365,16,0.043835616438356165
lucknow_lcs,Lucknow,22,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,23,normal,standard,365,14,0.038356164383561646
lucknow_lcs,Lucknow,23,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,23,lognormal,standard,365,14,0.038356164383561646
lucknow_lcs,Lucknow,23,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,24,normal,standard,365,14,0.038356164383561646
lucknow_lcs,Lucknow,24,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,24,lognormal,standard,365,13,0.03561643835616438
lucknow_lcs,Lucknow,24,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,25,normal,standard,365,14,0.038356164383561646
lucknow_lcs,Lucknow,25,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,25,lognormal,standard,365,12,0.03287671232876712
lucknow_lcs,Lucknow,25,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,26,normal,standard,365,12,0.03287671232876712
lucknow_lcs,Lucknow,26,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,26,lognormal,standard,365,10,0.0273972602739726
lucknow_lcs,Lucknow,26,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,27,normal,standard,365,10,0.0273972602739726
lucknow_lcs,Lucknow,27,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,27,lognormal,standard,365,7,0.019178082191780823
lucknow_lcs,Lucknow,27,lognormal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,28,normal,standard,365,10,0.0273972602739726
lucknow_lcs,Lucknow,28,normal,robust_mad,365,0,0.0
lucknow_lcs,Lucknow,28,lognormal,standard,365,7,0.019178082191780823
lucknow_lcs,Lucknow,28,lognormal,robust_mad,365,0,0.0
