dataset_key,city,sensor_id,station_name,period_mean_pm25_ugm3,arithmetic_period_mean_pm25_ugm3,reference_mean_pm25_ugm3,mean_minus_reference_ugm3,ci_basis,daily_means_observed,daily_presence_pct,lag1_autocorrelation,ar1_effective_n,gls_effective_n,sd_pm25_ugm3,bonferroni_z,ci_low_ugm3,ci_high_ugm3,ci_excludes_reference,longest_missing_gap_days,long_gap_gt_30d,rank_by_period_mean
chicago_lcs_corrected_no_collocation,Chicago,DHJUH1119,Dunning 4,9.952500456886538,9.975992647058824,10.253490712654873,-0.30099025576833505,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5433535176487281,80.47919143552699,81.43155634252514,5.3441067766089905,3.7448446730995455,7.734750557571289,12.170250356201787,False,1.0,False,103.0
chicago_lcs_corrected_no_collocation,Chicago,DHNQG0980,Irving Park 1,9.70994023069379,9.744889705882352,10.253490712654873,-0.5435504819610824,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5539939427625552,78.0657145631624,79.0220300495592,4.935108576997786,3.7448446730995455,7.6309309417070965,11.788949519680486,False,1.0,False,74.0
chicago_lcs_corrected_no_collocation,Chicago,DHQVH8975,Near West Side 6,10.438839642640211,10.485845588235295,10.253490712654873,0.18534892998533792,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5638735383131359,75.8542137024601,76.81396650552148,5.511685742596953,3.7448446730995455,8.083800332601271,12.793878952679151,False,1.0,False,166.0
chicago_lcs_corrected_no_collocation,Chicago,DHSIJ5379,Washington Heights 1,10.695076191115488,10.730882352941178,10.253490712654873,0.441585478460615,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5561447569785396,77.58187376876671,78.53895612215014,5.4771136000928555,3.7448446730995455,8.38065181227082,13.009500569960156,False,1.0,False,202.0
chicago_lcs_corrected_no_collocation,Chicago,DHUBD2135,Norwood Park 3,9.61162488126843,9.638308823529412,10.253490712654873,-0.6418658313864434,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5579975520068758,77.16614554321147,78.12388015127047,4.742665427599826,3.7448446730995455,7.602234149667671,11.621015612869188,False,1.0,False,66.0
chicago_lcs_corrected_no_collocation,Chicago,DHWLS6819,West Pullman 5,10.026800045654351,10.05246323529412,10.253490712654873,-0.22669066700052198,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.525800327823812,84.53420049783672,85.47945142131434,4.9463900324263665,3.7448446730995455,8.023291015962812,12.03030907534589,False,1.0,False,115.0
chicago_lcs_corrected_no_collocation,Chicago,DHZTI7858,Pullman 1,9.790029524096783,9.821176470588236,10.253490712654873,-0.4634611885580906,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5451672693803894,80.06544351547356,81.01850058170342,4.912012620454407,3.7448446730995455,7.746404639925174,11.83365440826839,False,1.0,False,82.0
chicago_lcs_corrected_no_collocation,Chicago,DIBVR6629,Beverly 2,9.65774114600633,9.68783088235294,10.253490712654873,-0.5957495666485428,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5460773462997512,79.85820509042635,80.81160651992921,4.672096023780604,3.7448446730995455,7.711446003469016,11.604036288543645,False,1.0,False,70.0
chicago_lcs_corrected_no_collocation,Chicago,DICQL6656,Albany Park 3,10.77854251125811,10.817389705882352,10.253490712654873,0.5250517986032364,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5509705289141764,78.7481218104451,79.70334149723446,5.843764345189466,3.7448446730995455,8.327288944223769,13.22979607829245,False,1.0,False,211.0
chicago_lcs_corrected_no_collocation,Chicago,DIEET8865,Hyde Park 4,9.494587977169454,9.543345588235294,10.253490712654873,-0.7589027354854192,daily_sensor_means_gap_aware_ar1_gls,272,99.63369963369964,0.5741744299739518,73.57796749944774,74.54107853740538,5.1389765430140235,3.7448446730995455,7.265574942389156,11.723601011949752,False,1.0,False,48.0
