dataset_key,city,sample_size,estimator,nominal_coverage,days_evaluated,median_empirical_coverage,mean_empirical_coverage,median_qce_pct_points,mean_qce_pct_points,p75_qce_pct_points,median_absolute_error_ugm3
lucknow_lcs,Lucknow,10,lognormal_delta_ci,0.68,365,0.667,0.6491720547945206,2.529999999999999,4.982356164383563,5.510000000000003,1.7689905883841277
lucknow_lcs,Lucknow,10,lognormal_delta_ci,0.9,365,0.8941,0.8793082191780822,1.3600000000000056,3.009342465753425,2.5700000000000056,1.7689905883841277
lucknow_lcs,Lucknow,10,lognormal_delta_ci,0.95,365,0.9471,0.933506301369863,0.9300000000000086,2.2796712328767113,1.660000000000006,1.7689905883841277
lucknow_lcs,Lucknow,15,arithmetic_mean_ci,0.68,365,0.6737,0.6539583561643836,0.8099999999999996,2.869808219178084,2.400000000000002,1.3722319990798226
lucknow_lcs,Lucknow,15,arithmetic_mean_ci,0.9,365,0.8934,0.8713767123287671,0.7099999999999995,3.005068493150686,2.3900000000000032,1.3722319990798226
lucknow_lcs,Lucknow,15,arithmetic_mean_ci,0.95,365,0.9426,0.9223243835616438,0.7899999999999907,2.9068493150684906,2.3599999999999954,1.3722319990798226
lucknow_lcs,Lucknow,15,lognormal_delta_ci,0.68,365,0.669,0.6498471232876712,2.4500000000000077,5.314136986301372,6.430000000000002,1.3677126856134727
lucknow_lcs,Lucknow,15,lognormal_delta_ci,0.9,365,0.8932,0.8757210958904109,1.4799999999999924,3.4561095890410964,2.9900000000000038,1.3677126856134727
lucknow_lcs,Lucknow,15,lognormal_delta_ci,0.95,365,0.9449,0.9293241095890411,0.990000000000002,2.6953698630136977,1.8100000000000005,1.3677126856134727
lucknow_lcs,Lucknow,20,arithmetic_mean_ci,0.68,365,0.6759,0.6574802739726028,0.7399999999999962,2.5713698630137003,2.0100000000000007,1.1283887762619091
lucknow_lcs,Lucknow,20,arithmetic_mean_ci,0.9,365,0.8941,0.8722542465753425,0.6000000000000005,2.9240547945205493,1.770000000000005,1.1283887762619091
lucknow_lcs,Lucknow,20,arithmetic_mean_ci,0.95,365,0.9448,0.9223071232876712,0.5499999999999949,2.879424657534244,1.9799999999999929,1.1283887762619091
lucknow_lcs,Lucknow,20,lognormal_delta_ci,0.68,365,0.6692,0.6522528767123288,2.5599999999999956,5.201287671232879,6.25,1.1271205548397099
lucknow_lcs,Lucknow,20,lognormal_delta_ci,0.9,365,0.8934,0.8749142465753424,1.5700000000000047,3.6674794520547946,3.289999999999993,1.1271205548397099
lucknow_lcs,Lucknow,20,lognormal_delta_ci,0.95,365,0.9457,0.9273235616438356,1.100000000000001,2.914602739726026,2.0100000000000007,1.1271205548397099
