sample_size,canonical_reference_mean_ugm3,madhwal_reference_mean_ugm3,madhwal_minus_canonical_reference_mean_ugm3,canonical_ape_median_pct,madhwal_ape_median_pct,madhwal_minus_canonical_ape_median_pct,canonical_ape_p95_pct,madhwal_ape_p95_pct,madhwal_minus_canonical_ape_p95_pct,canonical_absolute_error_median_ugm3,madhwal_absolute_error_median_ugm3,madhwal_minus_canonical_absolute_error_median_ugm3,canonical_absolute_error_p95_ugm3,madhwal_absolute_error_p95_ugm3,madhwal_minus_canonical_absolute_error_p95_ugm3,canonical_n_sensors_available,madhwal_n_sensors_available
36,61.802242631595966,51.46794024618637,-10.334302385409593,2.2450704587240944,0.9848167615058908,-1.2602536972182037,6.385540144218501,2.8191920570001363,-3.5663480872183646,1.3875038921509493,0.5068649023462797,-0.8806389898046696,3.946407013267881,1.4509800833220627,-2.4954269299458183,71,71
37,61.802242631595966,51.46794024618637,-10.334302385409593,2.0732537139014875,0.958959872125022,-1.1142938417764654,6.069837030019409,2.749870532557009,-3.3199664974623997,1.2813172906339716,0.4935568939702115,-0.7877603966637601,3.751295408635054,1.4153017225439284,-2.3359936860911255,71,71
38,61.802242631595966,51.46794024618637,-10.334302385409593,2.0798269915626215,0.9327594904082308,-1.1470675011543907,5.958659044306515,2.654094743406018,-3.304564300900497,1.2853797236429545,0.4800720971639407,-0.8053076264790138,3.6825849201518497,1.3660078966133826,-2.316577023538467,71,71
39,61.802242631595966,51.46794024618637,-10.334302385409593,2.0185223475932346,0.8994636331645718,-1.1190587144286628,5.800632769197417,2.5564683071524796,-3.2441644620449375,1.2474920788325576,0.4629354052533188,-0.7845566735792389,3.584921138187251,1.3157615807379306,-2.2691595574493206,71,71
40,61.802242631595966,51.46794024618637,-10.334302385409593,1.9988789605850363,0.8777760498129046,-1.1211029107721318,5.5594376125053415,2.4878366968250014,-3.07160091568034,1.2353520251326875,0.4517732528130409,-0.7835787723196466,3.435857122232757,1.2804383045445884,-2.155418817688169,71,71
41,61.802242631595966,51.46794024618637,-10.334302385409593,1.9025804959962935,0.8649100808205852,-1.0376704151757083,5.506753985987571,2.46521774292687,-3.0415362430607016,1.1758374143970514,0.445151403579981,-0.7306860108170703,3.403297459545121,1.268796794867986,-2.1345006646771347,71,71
42,61.802242631595966,51.46794024618637,-10.334302385409593,1.853517236095262,0.8297921599903086,-1.0237250761049534,5.35922433170787,2.384926006393958,-2.9742983253139124,1.1455152194700453,0.4270769330713513,-0.718438286398694,3.3121208246536256,1.2274722918866017,-2.084648532767024,71,71
43,61.802242631595966,51.46794024618637,-10.334302385409593,1.787140448947015,0.8129315081882318,-0.9742089407587833,5.170678288958677,2.307533512135903,-2.8631447768227742,1.1044928764256277,0.4183991028767408,-0.6860937735488868,3.1955951418414963,1.187639969186832,-2.0079551726546643,71,71
44,61.802242631595966,51.46794024618637,-10.334302385409593,1.757862035080982,0.7747936953941976,-0.9830683396867843,5.018957311850856,2.218578891649921,-2.8003784202009347,1.086398160049459,0.3987703561767048,-0.6876278038727541,3.1018281754462924,1.1418568582688853,-1.9599713171774071,71,71
45,61.802242631595966,51.46794024618637,-10.334302385409593,1.7017986921596178,0.7574407451743184,-0.9443579469852994,4.896927640010034,2.166567967492729,-2.730359672517305,1.051749756829814,0.389839150126587,-0.661910606703227,3.026411101572687,1.1150879069021724,-1.9113231946705147,71,71
