network,scenario,n,period_mdape_pct,daily_fraction_days_mdape_le_10,daily_valid_days_evaluated,m5_seed
chicago_lcs_raw,S4_daily_18h_annual_75pct,5,3.687041178222012,0.859504132231405,242,3505125387
chicago_lcs_raw,S4_daily_18h_annual_75pct,7,3.136497396903887,0.9132231404958677,242,3505125387
chicago_lcs_raw,S4_daily_18h_annual_75pct,10,2.6631452332718863,0.9628099173553719,242,3505125387
chicago_lcs_raw,S4_daily_18h_annual_75pct,15,2.2176202373320373,0.9669421487603306,242,3505125387
chicago_lcs_raw,S4_daily_18h_annual_75pct,20,1.9054914843463604,0.9834710743801653,242,3505125387
chicago_lcs_raw,S4_daily_18h_annual_75pct,30,1.606494622966967,0.9917355371900827,242,3505125387
chicago_lcs_raw,S4_daily_18h_annual_75pct,40,1.3445007354883836,0.9958677685950413,242,3505125387
chicago_lcs_raw,S4_daily_18h_annual_75pct,50,1.1675017487483421,1.0,242,3505125387
chicago_lcs_raw,S4_daily_18h_annual_75pct,75,0.9020600163466164,1.0,242,3505125387
chicago_lcs_raw,S4_daily_18h_annual_75pct,100,0.7355984104973261,1.0,242,3505125387
chicago_lcs_raw,S4_daily_18h_annual_75pct,150,0.5012213357129343,1.0,242,3505125387
chicago_lcs_raw,S4_daily_18h_annual_75pct,200,0.33023070420370465,1.0,242,3505125387
chicago_lcs_raw,S5_drop_gap_gt_30d,1,7.420322810938575,0.411522633744856,243,817020983
chicago_lcs_raw,S5_drop_gap_gt_30d,2,5.57342200986063,0.6337448559670782,243,817020983
chicago_lcs_raw,S5_drop_gap_gt_30d,3,4.619935790559531,0.7366255144032922,243,817020983
chicago_lcs_raw,S5_drop_gap_gt_30d,5,3.6553977406573974,0.8559670781893004,243,817020983
chicago_lcs_raw,S5_drop_gap_gt_30d,7,3.2626010062442097,0.9135802469135802,243,817020983
chicago_lcs_raw,S5_drop_gap_gt_30d,10,2.6717258568867948,0.9588477366255144,243,817020983
chicago_lcs_raw,S5_drop_gap_gt_30d,15,2.2195510256734785,0.9670781893004116,243,817020983
chicago_lcs_raw,S5_drop_gap_gt_30d,20,1.9542790644904438,0.9794238683127572,243,817020983
chicago_lcs_raw,S5_drop_gap_gt_30d,30,1.564653687458038,0.9917695473251029,243,817020983
chicago_lcs_raw,S5_drop_gap_gt_30d,40,1.3203226523133118,0.9958847736625515,243,817020983
chicago_lcs_raw,S5_drop_gap_gt_30d,50,1.1932413429483206,0.9958847736625515,243,817020983
chicago_lcs_raw,S5_drop_gap_gt_30d,75,0.9054171482811622,1.0,243,817020983
chicago_lcs_raw,S5_drop_gap_gt_30d,100,0.7354367418517499,1.0,243,817020983
chicago_lcs_raw,S5_drop_gap_gt_30d,150,0.5037050611920215,1.0,243,817020983
chicago_lcs_raw,S5_drop_gap_gt_30d,200,0.3283589402122771,1.0,243,817020983
dhaka_lcs,S0_baseline,1,10.163041915859631,0.03287671232876712,365,1395032829
dhaka_lcs,S0_baseline,2,8.692715786468264,0.10136986301369863,365,1395032829
dhaka_lcs,S0_baseline,3,7.429937907340447,0.3013698630136986,365,1395032829
dhaka_lcs,S0_baseline,5,5.859575695224926,0.7068493150684931,365,1395032829
