variant,sample_size,n_sensors_available,n_draws,seed,reference_mean_ugm3,ape_median_pct,ape_p95_pct,absolute_error_median_ugm3
corrected_no_collocation,200,277,10000,1857652979,10.253490712654871,0.2630215605537314,0.7639009207034726,0.0269688912836567
raw_all,1,286,10000,1448355749,17.205758382708535,7.711300861963966,27.540235180426166,1.3267877944732405
raw_all,2,286,10000,3152874256,17.205758382708535,5.644893301514732,19.121239373203544,0.9712467024203236
raw_all,3,286,10000,2787000762,17.205758382708535,4.638993538407419,15.98853010818261,0.798174019607842
raw_all,5,286,10000,2567820322,17.205758382708535,3.713896654561344,12.172630585432028,0.6390040849673202
raw_all,7,286,10000,4177838953,17.205758382708535,3.2202481001099508,10.26036757547679,0.5540681074286802
raw_all,10,286,10000,1702022481,17.205758382708535,2.7653874068646895,8.549876242204164,0.4758058755709875
raw_all,15,286,10000,19037388,17.205758382708535,2.2321480908601536,6.823824421925802,0.3840580072576394
raw_all,20,286,10000,423497859,17.205758382708535,1.969970162485515,5.891035238079704,0.3389483063687084
raw_all,30,286,10000,4094813983,17.205758382708535,1.6082959735949616,4.688836956261551,0.2767195192955789
raw_all,40,286,10000,36405766,17.205758382708535,1.3906251408249424,3.9441334894791265,0.2392676017395398
raw_all,50,286,10000,3781296315,17.205758382708535,1.1984284844207904,3.4641063689828564,0.2061987094189969
raw_all,75,286,10000,1762547775,17.205758382708535,0.9322820614691618,2.697781567462152,0.1604061989417182
raw_all,100,286,10000,3272620100,17.205758382708535,0.7337940844776294,2.1692936326392593,0.126254837201829
raw_all,150,286,10000,303481566,17.205758382708535,0.5304754193586596,1.5095844114202264,0.0912723189345108
raw_all,200,286,10000,2029688008,17.205758382708535,0.3627982009013392,1.0532320274464877,0.0624221818638979
raw_collapsed,1,280,10000,2190672562,17.190216243305727,7.5521075768031025,27.801620928156673,1.2982236233795295
raw_collapsed,2,280,10000,2592593011,17.190216243305727,5.537627529435686,19.10503145237367,0.9519301470588228
raw_collapsed,3,280,10000,2766971906,17.190216243305727,4.742462014044804,16.58827457337753,0.8152394754709338
raw_collapsed,5,280,10000,3323257482,17.190216243305727,3.681009727914808,12.51172986925747,0.6327735321656753
