Sensor_ID,Station_Name,Latitude,Longitude
DWMKK1484,Gage Park 2,41.802534,-87.68644672022
DWMLU4849,Portage Park 4,41.94171985,-87.7524262436
DWMUZ3935,Lincoln Square 2,41.96231835,-87.69021417612
DWRMS8182,South Chicago 1,41.7514325,-87.56903725191
DWTBK5575,Brighton Park 3,41.81505595,-87.70319663856
DWTBM7891,Woodlawn 1,41.77673266667,-87.60245566667
DWZPM1574,West Town 5,41.89110265,-87.68577505409
DWZRL1539,Hermosa 2,41.916261,-87.73604474675
DXEMM9791,Chatham 2,41.7389797,-87.60272773313
DXHCB5919,Uptown 2,41.97559665,-87.65386596903
DXHYE9278,Hegewisch 5,41.64887855,-87.56940151087
DXIGM4223,Ashburn 6,41.73950785,-87.70388676765
DXRZC4102,New City 1,41.8149286,-87.66950393452
DXUQX7513,Ashburn 8,41.73966255,-87.73740646472
DXWXZ1902,South Deering 1,41.71372895,-87.56962240594
DXXAJ4778,West Lawn 3,41.7648253,-87.72039625876
DYDVV6312,Humboldt Park 2,41.90346745,-87.71910871226
DYGHJ0891,Clearing 1,41.7742202,-87.799271931
DYHTK6723,Chatham 1,41.73916155,-87.6202683
DYLLV9237,Portage Park 5,41.94900945,-87.76278188336
DYRMT9480,West Ridge 2,42.01638365,-87.68983284926
DYSHC8669,Chicago Lawn 2,41.7772231,-87.68679669713
DYUGS4351,East Garfield Park 2,41.87840975,-87.70263428384
DYWEY8508,Lake View 2,41.9485634,-87.6540142756
DYWHJ8696,Chicago Lawn 1,41.7773501,-87.7035278237
DYWWS0378,Uptown 4,41.96225355,-87.67205436321
DYZXT2661,Washington Park 1,41.79001015,-87.61876673066
DZBHR9476,Near South Side 2,41.85326985,-87.61952604024
DZBKX0961,Kenwood 1,41.8130536,-87.60098186266
DZCNZ4799,North Center 1,41.9487138,-87.6903309
DZFFW4078,Hegewisch 3,41.6503081,-87.5365747
DZFVS4727,Uptown 3,41.96208095,-87.65418214875
DZIEF7974,Auburn Gresham 5,41.7391003,-87.67021444445
DZIHS7092,Archer Heights 2,41.81532825168,-87.71997399657
DZKWB0839,East Side 2,41.71325825,-87.53592341667
DZLAV7766,Austin 4,41.8787019,-87.75315257212
DZTFU6199,Ashburn 7,41.73968055,-87.72068312695
DZUWB2477,North Lawndale 1,41.86579905,-87.73621350561
