target_N_star,time_index,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws,baseline_ape_median_pct,baseline_absolute_error_median_ugm3
50,2023-03-27,5,8.507575901426016,7.105255485674496,8.025420668445847,9.039704628794118,9.53856717419281,8.410669972921866,0.80315801040016,100,8.46840090108751,1.5313405797101431
50,2023-03-27,10,5.538321970801579,4.536476975147563,5.044951726688058,5.896930078901035,6.151175820302414,5.456840022376545,0.5612539144709978,100,5.718441886519569,1.0340656064614375
50,2023-03-27,20,2.881683525704241,2.282285650135248,2.5750963156339153,3.0931507193248544,3.2511196750601186,2.8175868900714223,0.3381233517733576,100,3.503196239670235,0.6334828290670664
50,2023-03-28,5,8.792315381623174,7.319662247178296,8.138801602684548,9.39992473212235,9.839071326776947,8.743083893557873,0.8426628032020762,100,8.923029644036834,2.0774501752943806
50,2023-03-28,10,5.725829794830949,4.632724303894809,5.224971357777214,6.0570251573070815,6.365277796398883,5.620939899864681,0.5765765313495472,100,5.902596812088187,1.374236248353098
50,2023-03-28,20,2.9702726090270706,2.37141453144813,2.6685237756477815,3.183813605106602,3.31840183821587,2.9072969526774726,0.34437613659537697,100,3.6229684821509913,0.8434956296890146
50,2023-03-29,5,10.156735087298468,8.81279799468087,9.547071589860948,10.57832749290063,11.291708522119754,10.090993327471184,0.7972943540929373,100,10.338386799222304,3.1261646821296196
50,2023-03-29,10,6.482814895389151,5.577593510313317,6.0626673095524195,6.821517196233062,7.188760587162046,6.452979105483189,0.5361513545706525,100,6.790775608667013,2.053423158212558
50,2023-03-29,20,3.3575675817114012,2.784782620227053,3.110716906767232,3.587140575287929,3.795193062715601,3.3325943436787675,0.3379944043304709,100,4.089849522353319,1.2367058207734516
50,2023-03-30,5,8.408258981578992,6.862821522060518,7.784931921901493,9.045641929009328,9.487922510604372,8.33921779925725,0.8841584588025467,100,8.533672912796625,2.6237263943785685
50,2023-03-30,10,5.583194187755366,4.366321781447578,5.021557579556846,5.939736656393052,6.175708621407831,5.448284223913184,0.6117761388421052,100,5.771920252982271,1.7746097921434032
50,2023-03-30,20,2.8729444897385887,2.132774094540731,2.517845752814363,3.0700120349663855,3.2178956397054854,2.769555115767223,0.3683985347445846,100,3.398287232582623,1.0448227860288064
50,2023-03-31,5,7.116138625536015,5.434178765918296,6.590799950393526,7.483928768949521,7.985205826307487,6.981867058672442,0.759150681894121,100,6.714917709691743,1.3920956550049493
50,2023-03-31,10,4.991275329759214,3.672351878239355,4.329044496733629,5.248200985435654,5.476329368314807,4.797252592959896,0.5993013265117437,100,5.020554555402388,1.040830652653197
50,2023-03-31,20,2.555399789824408,1.8522004280089333,2.1958945096656897,2.7353658142734614,2.890925350688164,2.448838586136178,0.3622576878011529,100,3.124597572562122,0.647772451198426
60,2022-04-01,5,6.554520594426207,6.046434053873297,6.363020542274298,6.770538598004956,7.007625800138147,6.560841936136858,0.28686055800035676,100,6.779096658605335,5.1250271614421266
60,2022-04-01,10,4.401517056957963,4.072139072696728,4.288477342818368,4.527754969384461,4.71341548938699,4.403368360543525,0.1934857559202213,100,4.4821996311394585,3.3885628144032864
60,2022-04-01,20,2.6960644618860536,2.463516064625374,2.6028222253101334,2.7626855444527685,2.870566220065173,2.6842857516601817,0.12405845862815748,100,2.8822640232235712,2.1790043938549246
60,2022-04-02,5,5.574067005289709,5.147266917184569,5.426339117320567,5.812698110710753,6.053595131833254,5.592303822448461,0.27839809501366203,100,5.590484053710803,3.045519066366868
60,2022-04-02,10,3.8096411727888624,3.4358904787978974,3.6578108779457823,3.9203830425879214,4.0574383001479335,3.774909609413681,0.196608885375547,100,3.895269588133208,2.1220197902942424
60,2022-04-02,20,2.3323107617228676,2.093414933192969,2.232625715999207,2.3888269482375897,2.4452398795208894,2.302233985914601,0.12117917703363436,100,2.469780112107676,1.3454581658568363
60,2022-04-03,5,6.519279325095138,5.950186900553162,6.3332709776857055,6.680174127272638,6.928749445422775,6.491158001861122,0.29790677545509664,100,6.685577863830675,4.263462066315327
60,2022-04-03,10,4.356948248370532,3.9285607031833853,4.249276012998228,4.4666886897505185,4.587275742605495,4.338127352360139,0.19353040609931618,100,4.423731200293933,2.821059083922208
60,2022-04-03,20,2.6399806505755348,2.346759484794962,2.5709623610025307,2.7202096476584496,2.779665322884484,2.6246341848967507,0.1261350991809201,100,2.7715410665172806,1.7674403683574873
60,2022-04-04,5,6.074893224819293,5.634120993116011,5.884732353592655,6.262116637963885,6.419517330164858,6.057218607560324,0.26076362493769084,100,6.016422110533705,2.0194020216689026
60,2022-04-04,10,4.075607529222472,3.6739743759008316,3.9551607556465305,4.1859139589481895,4.274823712549272,4.048683647791192,0.18376107613927917,100,4.144082481911585,1.390954355959007
60,2022-04-04,20,2.4877297874697506,2.238128345150175,2.401663561238148,2.5601515370649515,2.6107311723291624,2.467076957397276,0.11973725559107912,100,2.5096198767204654,0.842349715422511
60,2022-04-05,5,6.305912474936754,5.675480010005649,6.112663969783966,6.44661734540311,6.667104720196992,6.252640731828583,0.30203074948142616,100,6.208259613877514,2.302736382751636
60,2022-04-05,10,4.1795212431326245,3.878542590174878,4.054013225209065,4.268368427296614,4.409090505328817,4.155952431385812,0.18787915866500068,100,4.22294225219054,1.566352467709503
