Sensor_ID,Latitude,Longitude,Station_Name,value_pm25_ug_m3,network,panel,start_date,end_date,n_dates_available_for_network
DKRXT7147,41.68874295,-87.62059497345,Roseland 4,6.24,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DKTWP2892,41.7006795,-87.53620860009,East Side 3,4.5,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DKUAZ4434,42.01665715,-87.7077947,West Ridge 1,4.98,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DKWDP4373,41.93506775,-87.65427066335,Lake View 4,6.68,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DKXFR1580,41.91611105,-87.71889889178,Logan Square 4,5.95,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DLDVK7370,41.75137435,-87.55253841883,South Chicago 2,6.39,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DLFZU4679,41.7772125,-87.66997231765,West Englewood 2,5.6,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DLIKU5639,41.95008034764,-87.85424652587,O'Hare 3,5.22,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DLJWW1620,41.78957595,-87.6348940749,Englewood 2,6.62,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DLNMW9381,41.7138256,-87.65385383114,Washington Heights 5,5.62,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DLTCH1397,41.77677010296,-87.58579570606,Woodlawn 2,4.8,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DLUKV4510,41.72602304045,-87.55256172786,Calumet Heights 3,5.2,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DLVFF5341,41.80223545,-87.61894770389,Grand Boulevard 2,6.87,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DLZBV6061,41.7392967,-87.65309402456,Auburn Gresham 4,5.05,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DMAFX5938,41.73883825,-87.5685253,Avalon Park 2,5.25,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DMARJ5120,41.79964665,-87.60179992085,Hyde Park 1,4.55,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DMFEL5431,41.7873492,-87.80034666308,Garfield Ridge 4,7.45,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DMHRT7456,41.76441945,-87.68673944938,Chicago Lawn 3,6.15,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DMIYV7889,41.96313028153,-87.85304850279,O'Hare 2,4.52,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DMKJB8675,41.73896995,-87.58611561643,Avalon Park 3,6.73,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DMLBL6950,41.77747453159,-87.72038498734,West Lawn 2,7.4,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DMLFU0523,41.7130402,-87.5843047413,Pullman 2,5.13,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DMLRY2750,41.98888865,-87.72522068118,North Park 1,4.52,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DMMAG3845,41.6505642,-87.6038782,Riverdale 3,3.74,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DMMRS6981,42.00388875,-87.7800832952,Forest Glen 1,6.08,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DMSGP0807,41.97668455,-87.83490487434,Norwood Park 6,6.5,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DMTRR1120,41.7264486,-87.60347733402,Burnside 1,7.03,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DMVDY6300,41.82770135,-87.6859207505,McKinley Park 1,5.69,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DMYFE2499,41.86563285,-87.70345920195,North Lawndale 3,6.04,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
DMYYS7663,41.7770621,-87.65292944762,Englewood 6,6.61,Chicago LCS,"Jan 1, 2026",2026-01-01,2026-01-01,1
