run_key,city,selection_strategy,selection_strategy_label,time_aggregation,sample_size,row_count,n_outer_draws,n_days,selected_ref_mdape_median_pct,full_ref_mdape_median_pct,mdape_delta_median_pctpt,selected_ref_abs_median_ugm3,full_ref_abs_median_ugm3,abs_delta_median_ugm3,reference_mean_delta_median_ugm3,mdape_delta_p95_pctpt,abs_delta_p95_ugm3
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,18,20,20,0,1.4658886154338924,2.108051645476092,0.7782881266892716,0.14601307303459343,0.22270861042541013,0.08967125570016954,0.5187732977888322,1.6287586405171668,0.1820528000333654
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,19,20,20,0,1.4103449867256086,2.064041911132188,0.8220866798489846,0.14048408107039867,0.21805912908943048,0.09272231304678558,0.5187732977888322,1.720129279425582,0.19055999056282383
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,20,20,20,0,1.352808205939603,2.0534628208119132,0.8897172004691152,0.13474808402129046,0.2169414835564809,0.09999348245621631,0.5187732977888322,1.7455546627737992,0.19353997667589615
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,21,20,20,0,1.3037367593187443,2.0354897301572463,0.9222821318395131,0.12986382337502267,0.21504268660179493,0.1032019555042476,0.5187732977888322,1.8365083438104925,0.20090026569999275
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,22,20,20,0,1.2512641369208328,2.06673452587013,0.9605584517934403,0.12463425606678902,0.21834359483674026,0.10692352650348314,0.5187732977888322,1.8537698404780558,0.20245981236958688
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,23,20,20,0,1.2010615329414722,2.048203603132977,0.9988377462751901,0.11963578286815846,0.21638586478702893,0.10994936696457369,0.5187732977888322,1.8972134510769123,0.20677058485227703
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,24,20,20,0,1.1700477363933626,2.0356871815750224,1.0307550350053292,0.11662459484970356,0.21506354668412442,0.11307072758319325,0.5187732977888322,1.9565869013318373,0.21270442333100262
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,25,20,20,0,1.1243204354764762,2.01325231987837,1.0472617261722337,0.11217697817937422,0.21269337853180703,0.11441983771073305,0.5187732977888322,1.992104862523298,0.21629085865406195
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,26,20,20,0,1.0845216310136276,2.014074105493019,1.102126840549585,0.10836007845474027,0.2127801974352712,0.12006013271410154,0.5187732977888322,2.05471271048487,0.22270307987990223
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,27,20,20,0,1.0311720477065953,2.021513376801809,1.1212484923911594,0.10276693970764583,0.21356613158413973,0.12197407544712391,0.5187732977888322,2.0795080058806694,0.2251130779837077
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,28,20,20,0,0.9796595709427649,2.035083241247434,1.1531978446374316,0.09788241924377328,0.2149997424071155,0.12516926942179474,0.5187732977888322,2.0877068169909694,0.22578181912438813
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,29,20,20,0,0.9442491900850881,2.043513936088874,1.167652541971528,0.09405524223056894,0.2158904171384899,0.12664532962280184,0.5187732977888322,2.161634319555703,0.23330995346635117
chicago_phase4_strategy_n50,Chicago,circumferential,Circumferential,period,30,20,20,0,0.9046417702526798,2.0255194039518445,1.1931560745037861,0.09010878508675102,0.21398935496285798,0.12917495853582617,0.5187732977888322,2.1953436822703045,0.2366941580376235
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,daily,5,4820,20,241,3.034775297426318,4.17517413313812,0.7263651389412654,0.28741666666666665,0.3996275946275949,0.06644670681687215,-0.06394319633057677,7.063573122942413,0.7605676778062235
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,daily,10,4820,20,241,2.1077494336080065,3.5206214392796515,1.0642544706068338,0.2014948979591833,0.34233481254886833,0.09916211484593784,-0.06394319633057677,8.074023096947823,0.9002417962724131
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,daily,20,4820,20,241,1.3081197090650274,3.206668493763944,1.6844660865976733,0.12557316543638652,0.29818190515238463,0.15086200869236643,-0.06394319633057677,8.950444085965788,1.020721543191877
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,2,20,20,0,3.752239374603873,4.043094976730941,0.13955582586343818,0.3810617987088314,0.4271394707136533,0.02795911030144005,0.25906982251779187,2.166760052030957,0.22506049443664322
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,3,20,20,0,3.098673378130165,3.512943180321966,0.23694996387253586,0.32135458140679907,0.3711307053941906,0.038171184248442014,0.25906982251779187,2.0045404956518182,0.20849312946113394
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,4,20,20,0,2.6965700783241577,3.1105110419088797,0.2853982217465012,0.2806677018803363,0.3286150950537885,0.03989178332536358,0.25906982251779187,1.9545840791172575,0.20353559082097847
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,5,20,20,0,2.403308358741431,2.7811938185015417,0.2856576841499163,0.25303728751495,0.2938238311055854,0.0389681814065157,0.25906982251779187,2.0294832604723805,0.21160064590047667
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,6,20,20,0,2.215428895320332,2.5983919079782707,0.27705903455571534,0.23450544583513633,0.2745114202530736,0.03756156195958216,0.25906982251779187,2.0826179908477718,0.21754310221592665
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,7,20,20,0,2.0183392958053,2.4282729153171148,0.28663306831297586,0.2117864219883021,0.25653891728150624,0.039877012088973984,0.25906982251779187,2.1431220215952895,0.2241393116440122
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,8,20,20,0,1.886552852034359,2.311411697488001,0.3282353778520414,0.19820503879061846,0.2441929202129831,0.04144441962394252,0.25906982251779187,2.259531158685429,0.2365620352812591
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,9,20,20,0,1.7307525174620166,2.207897029049654,0.2977730788447931,0.1830565283084553,0.2332569414782948,0.038189346433055604,0.25906982251779187,2.33258846505242,0.24433920288461936
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,10,20,20,0,1.639909398695405,2.143403172852276,0.3339201565883576,0.17303288331667233,0.22644338113430695,0.04252622747472978,0.25906982251779187,2.345051245105779,0.24669048218763892
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,11,20,20,0,1.5604915856906725,2.0263582378891196,0.29380089083823313,0.16362639511579902,0.21407797496462555,0.03784421381284675,0.25906982251779187,2.486102192729048,0.2608445384802723
chicago_phase4_strategy_n50,Chicago,cluster_concentrated,Cluster-concentrated,period,12,20,20,0,1.4715801627843161,1.9665008754901105,0.3442097507681815,0.15459008691594311,0.20775424469349035,0.04391247396793707,0.25906982251779187,2.538755247713536,0.26648886323328297
