city,dataset_key,resolution,weight_scheme,scheme_type,parameter,time_windows_available,time_windows_sampled,time_windows_tested,n_permutations,alpha,median_observed_morans_i,p10_observed_morans_i,p90_observed_morans_i,positive_sig_pct,negative_sig_pct,two_sided_sig_pct,median_p_positive,median_p_two_sided,median_valid_sensor_count,min_valid_sensor_count,scenario,scenario_description,sensors_retained,baseline_median_observed_morans_i,baseline_positive_sig_pct,baseline_two_sided_sig_pct,delta_median_observed_morans_i,delta_positive_sig_pct,delta_two_sided_sig_pct
Dhaka,dhaka_lcs,daily,band_5km,distance_band,5,365,240,240,199,0.05,0.0008872483841182665,-0.06255337099282443,0.0968569121388826,24.166666666666668,1.25,15.0,0.2175,0.38,28.0,11.0,daily_ge_18h_record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records and require at least 18 valid hourly records per retained sensor-day.,31,-0.003978487981036371,18.333333333333332,10.833333333333334,0.004865736365154638,5.833333333333336,4.166666666666666
Dhaka,dhaka_lcs,daily,band_10km,distance_band,10,365,240,240,199,0.05,-0.02513743583728681,-0.057792518225009366,0.02411843570644211,19.583333333333332,1.6666666666666667,13.750000000000002,0.2575,0.4,28.0,11.0,daily_ge_18h_record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records and require at least 18 valid hourly records per retained sensor-day.,31,-0.02597399941996785,11.666666666666666,9.166666666666666,0.0008365635826810408,7.916666666666666,4.583333333333336
Dhaka,dhaka_lcs,daily,knn_4,k_nearest_neighbor,4,365,240,240,199,0.05,-0.00950176777647284,-0.10930839385947035,0.14272574481682693,6.666666666666667,0.8333333333333334,2.9166666666666665,0.365,0.49,28.0,11.0,daily_ge_18h_record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records and require at least 18 valid hourly records per retained sensor-day.,31,-0.03039922149174855,4.166666666666666,2.9166666666666665,0.02089745371527571,2.500000000000001,0.0
Dhaka,dhaka_lcs,daily,knn_5,k_nearest_neighbor,5,365,240,240,199,0.05,-0.01741227539081274,-0.10228981269114867,0.10284019829103584,5.833333333333333,0.0,3.3333333333333335,0.385,0.53,28.0,11.0,daily_ge_18h_record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records and require at least 18 valid hourly records per retained sensor-day.,31,-0.03960651589355024,3.75,3.75,0.0221942405027375,2.083333333333333,-0.4166666666666665
Dhaka,dhaka_lcs,daily,knn_8,k_nearest_neighbor,8,365,240,240,199,0.05,-0.005821941414687136,-0.07555334161881437,0.0901121232802677,10.833333333333334,0.4166666666666667,2.9166666666666665,0.28,0.46499999999999997,28.0,11.0,daily_ge_18h_record_uptime_ge_75pct,Retain sensors with at least 75% valid hourly records and require at least 18 valid hourly records per retained sensor-day.,31,-0.016351079012556537,5.833333333333333,2.5,0.0105291375978694,5.000000000000001,0.4166666666666665
Dhaka,dhaka_lcs,highest_hourly,band_2km,distance_band,2,8760,120,120,199,0.05,0.06614870432186873,-0.17910005567727066,0.25225134611723155,6.666666666666667,3.3333333333333335,3.3333333333333335,0.245,0.425,27.0,13.0,drop_hourly_gap_gt_30d,Retain sensors whose longest hourly missing run is no more than 30 days; daily value kept with at least one valid hourly record.,30,0.04272121391326461,8.333333333333332,5.833333333333333,0.023427490408604118,-1.6666666666666652,-2.4999999999999996
Dhaka,dhaka_lcs,highest_hourly,band_5km,distance_band,5,8760,120,120,199,0.05,0.0066072050850150684,-0.11871374439060739,0.1540017277872065,24.166666666666668,3.3333333333333335,21.666666666666668,0.235,0.28,27.0,13.0,drop_hourly_gap_gt_30d,Retain sensors whose longest hourly missing run is no more than 30 days; daily value kept with at least one valid hourly record.,30,0.0016838624953675525,29.166666666666668,21.666666666666668,0.0049233425896475155,-5.0,0.0
Dhaka,dhaka_lcs,highest_hourly,band_10km,distance_band,10,8760,120,120,199,0.05,-0.02065295044678976,-0.07462469922525072,0.060173593719269405,23.333333333333332,2.5,17.5,0.2625,0.31,27.0,13.0,drop_hourly_gap_gt_30d,Retain sensors whose longest hourly missing run is no more than 30 days; daily value kept with at least one valid hourly record.,30,-0.021260758999508605,25.0,20.0,0.0006078085527188443,-1.6666666666666679,-2.5
Dhaka,dhaka_lcs,highest_hourly,knn_4,k_nearest_neighbor,4,8760,120,120,199,0.05,-0.0021151403823256735,-0.14825359608243882,0.2026982476611127,15.0,1.6666666666666667,10.833333333333334,0.3275,0.405,27.0,13.0,drop_hourly_gap_gt_30d,Retain sensors whose longest hourly missing run is no more than 30 days; daily value kept with at least one valid hourly record.,30,0.0009813439935246974,10.0,5.0,-0.003096484375850371,5.0,5.833333333333334
Dhaka,dhaka_lcs,highest_hourly,knn_5,k_nearest_neighbor,5,8760,120,120,199,0.05,0.003191661276616937,-0.12799501668457844,0.19722671143915005,15.0,5.0,12.5,0.2825,0.42,27.0,13.0,drop_hourly_gap_gt_30d,Retain sensors whose longest hourly missing run is no more than 30 days; daily value kept with at least one valid hourly record.,30,-0.018612125608032,13.333333333333334,8.333333333333332,0.021803786884648936,1.666666666666666,4.166666666666668
Dhaka,dhaka_lcs,highest_hourly,knn_8,k_nearest_neighbor,8,8760,120,120,199,0.05,-0.01255940606403784,-0.11045332186992955,0.13006764012010646,17.5,3.3333333333333335,12.5,0.3,0.4,27.0,13.0,drop_hourly_gap_gt_30d,Retain sensors whose longest hourly missing run is no more than 30 days; daily value kept with at least one valid hourly record.,30,-0.0072428054839526945,17.5,13.333333333333334,-0.005316600580085145,0.0,-0.8333333333333339
Dhaka,dhaka_lcs,daily,band_2km,distance_band,2,365,240,240,199,0.05,0.08231616698105365,-0.09048917254063732,0.28726661389585173,6.666666666666667,0.0,3.3333333333333335,0.245,0.445,28.0,15.0,drop_hourly_gap_gt_30d,Retain sensors whose longest hourly missing run is no more than 30 days; daily value kept with at least one valid hourly record.,30,0.07025383696705616,7.083333333333333,2.083333333333333,0.012062330013997494,-0.4166666666666661,1.2500000000000004
Dhaka,dhaka_lcs,daily,band_5km,distance_band,5,365,240,240,199,0.05,-0.004272640781925097,-0.09618005529622237,0.10684070365461014,18.333333333333332,0.4166666666666667,10.833333333333334,0.28,0.44,28.0,15.0,drop_hourly_gap_gt_30d,Retain sensors whose longest hourly missing run is no more than 30 days; daily value kept with at least one valid hourly record.,30,-0.003978487981036371,18.333333333333332,10.833333333333334,-0.0002941528008887258,0.0,0.0
Dhaka,dhaka_lcs,daily,band_10km,distance_band,10,365,240,240,199,0.05,-0.029195411680700684,-0.07378608530521591,0.026289255960569923,14.166666666666666,3.3333333333333335,10.833333333333334,0.3225,0.445,28.0,15.0,drop_hourly_gap_gt_30d,Retain sensors whose longest hourly missing run is no more than 30 days; daily value kept with at least one valid hourly record.,30,-0.02597399941996785,11.666666666666666,9.166666666666666,-0.0032214122607328345,2.5,1.6666666666666679
Dhaka,dhaka_lcs,daily,knn_4,k_nearest_neighbor,4,365,240,240,199,0.05,-0.037912216339173875,-0.14790505140406193,0.1026370367820416,5.416666666666667,1.6666666666666667,3.3333333333333335,0.4625,0.59,28.0,15.0,drop_hourly_gap_gt_30d,Retain sensors whose longest hourly missing run is no more than 30 days; daily value kept with at least one valid hourly record.,30,-0.03039922149174855,4.166666666666666,2.9166666666666665,-0.007512994847425326,1.2500000000000009,0.41666666666666696
Dhaka,dhaka_lcs,daily,knn_5,k_nearest_neighbor,5,365,240,240,199,0.05,-0.018897126832617656,-0.10743681215614359,0.10127015556999283,6.25,1.25,3.3333333333333335,0.39,0.525,28.0,15.0,drop_hourly_gap_gt_30d,Retain sensors whose longest hourly missing run is no more than 30 days; daily value kept with at least one valid hourly record.,30,-0.03960651589355024,3.75,3.75,0.020709389060932587,2.5,-0.4166666666666665
Dhaka,dhaka_lcs,daily,knn_8,k_nearest_neighbor,8,365,240,240,199,0.05,-0.020123439739943592,-0.08613126401766584,0.06342521943814373,7.083333333333333,2.083333333333333,5.416666666666667,0.345,0.53,28.0,15.0,drop_hourly_gap_gt_30d,Retain sensors whose longest hourly missing run is no more than 30 days; daily value kept with at least one valid hourly record.,30,-0.016351079012556537,5.833333333333333,2.5,-0.0037723607273870557,1.25,2.916666666666667
Dhaka,dhaka_lcs,highest_hourly,band_2km,distance_band,2,8760,120,120,199,0.05,0.04272121391326461,-0.17352466234356254,0.2083500554220534,9.166666666666666,5.0,8.333333333333332,0.2525,0.35,31.0,13.0,daily_ge_50pct_gap_le_90d,Retain sensors with valid daily means on at least 50% of days and longest daily missing run no more than 90 days.,35,0.04272121391326461,8.333333333333332,5.833333333333333,0.0,0.8333333333333339,2.499999999999999
Dhaka,dhaka_lcs,highest_hourly,band_5km,distance_band,5,8760,120,120,199,0.05,0.0016838624953675525,-0.09491616360813214,0.12257043535782984,30.0,3.3333333333333335,22.5,0.23249999999999998,0.24,31.0,13.0,daily_ge_50pct_gap_le_90d,Retain sensors with valid daily means on at least 50% of days and longest daily missing run no more than 90 days.,35,0.0016838624953675525,29.166666666666668,21.666666666666668,0.0,0.8333333333333321,0.8333333333333321
Dhaka,dhaka_lcs,highest_hourly,band_10km,distance_band,10,8760,120,120,199,0.05,-0.021260758999508605,-0.0689066765476007,0.0502181705379012,27.500000000000004,3.3333333333333335,20.0,0.235,0.29,31.0,13.0,daily_ge_50pct_gap_le_90d,Retain sensors with valid daily means on at least 50% of days and longest daily missing run no more than 90 days.,35,-0.021260758999508605,25.0,20.0,0.0,2.5000000000000036,0.0
Dhaka,dhaka_lcs,highest_hourly,knn_4,k_nearest_neighbor,4,8760,120,120,199,0.05,0.0009813439935246974,-0.1367928984226734,0.153714317159763,10.0,0.8333333333333334,4.166666666666666,0.35,0.445,31.0,13.0,daily_ge_50pct_gap_le_90d,Retain sensors with valid daily means on at least 50% of days and longest daily missing run no more than 90 days.,35,0.0009813439935246974,10.0,5.0,0.0,0.0,-0.8333333333333339
