dataset_key,city,period_type,sample_size,n_periods,median_period_mdape_pct,max_period_mdape_pct,median_period_absolute_error_ugm3,max_period_absolute_error_ugm3
lucknow_lcs,Lucknow,month,5,12,6.640623137555231,8.361104811723354,3.250206054965357,12.327026774270635
lucknow_lcs,Lucknow,month,6,12,6.146394947399586,7.721626053734888,3.0182982167672936,11.44780942395775
lucknow_lcs,Lucknow,month,7,12,5.670121681166008,7.419677466455539,2.7868873651384227,11.000151138131372
lucknow_lcs,Lucknow,month,8,12,5.322195552481771,7.232045359018412,2.63262173223446,10.721974418252941
lucknow_lcs,Lucknow,month,9,12,5.051952665395076,7.027807796169311,2.4719041928020253,10.419179038052008
lucknow_lcs,Lucknow,month,10,12,4.760341568671509,6.913255720813062,2.311386570796074,10.249348186535585
lucknow_lcs,Lucknow,month,11,12,4.517781281301634,6.8384025929377525,2.2140793318613223,10.13837358912042
lucknow_lcs,Lucknow,month,12,12,4.300210484161938,6.681048826721979,2.102670555760085,9.905086466013898
lucknow_lcs,Lucknow,month,13,12,4.129415857769869,6.611611799333136,2.00956117713857,9.80214158743756
lucknow_lcs,Lucknow,month,14,12,4.000817458656747,6.5187294137348,1.9301048774340739,9.664437450799397
lucknow_lcs,Lucknow,month,15,12,3.82719776959991,6.44908272674724,1.8474003330644617,9.561181738324436
lucknow_lcs,Lucknow,month,16,12,3.641617239715223,6.366315082486633,1.7548381878018837,9.4384733591085
lucknow_lcs,Lucknow,month,17,12,3.482351532089679,6.208904696674153,1.6784794348505265,9.205102293792365
lucknow_lcs,Lucknow,month,18,12,3.34530764482746,6.075799969134506,1.6027369382993761,9.007765936955366
lucknow_lcs,Lucknow,month,19,12,3.2148181854949183,5.926746711787478,1.547142726870332,8.786784854440555
lucknow_lcs,Lucknow,month,20,12,3.079919817696123,5.729849744662033,1.476655340390188,8.494872381585552
lucknow_lcs,Lucknow,month,21,12,2.9882393722910163,5.629323965008968,1.4269092522572837,8.345836419515564
lucknow_lcs,Lucknow,month,22,12,2.8852486697685737,5.500255884915195,1.3717114397424162,8.154484653275219
lucknow_lcs,Lucknow,month,23,12,2.800727391633078,5.3175883086666955,1.3367610004710269,7.883668171581235
lucknow_lcs,Lucknow,month,24,12,2.688996640459405,5.187677106437906,1.286452038419366,7.691066422311977
lucknow_lcs,Lucknow,month,25,12,2.574163963880207,5.050502748958513,1.2421086409590743,7.4876965762005625
lucknow_lcs,Lucknow,month,26,12,2.5276955313792384,4.940549284575448,1.2021674851407411,7.324683462511587
