phase,phase_name,dataset_key,target_N_star,outer_seed_index,outer_seed_value,inner_seed_value,selected_sensor_set_hash,selected_sensor_order,sensor_id,station_name,latitude,longitude
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,22,81432147038,Mall,27.01277,80.73623
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,23,81432147043,Amrapali Yojna,26.88655,80.86085
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,24,81432147046,CMS_IndNgr,26.87444,80.97576
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,25,81432147050,RDSO,26.81192,80.88597
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,26,81432147056,Rajajipuram-II,26.84018,80.88633
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,27,81432147061,Para,26.81434,80.86674
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,28,81432147068,Badal Khera,26.83256,80.86087
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,29,81432147069,Hazratganj_NBRI,26.85727,80.95248
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,30,81432147070,Asharfabad,26.85687,80.89933
3,phase3_lucknow_downsampling,lucknow_lcs,31,4,3378801987,4108750790,c3126c08652e1f73,31,81432147072,Haroiya,26.65826,81.15739
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,1,81432130003,Aliganj,26.90173,80.95188
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,2,81432130005,Rajendra Nagar-II,26.90434,80.76538
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,3,81432131006,Nishat Ganj,26.86539,80.9547
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,4,81432131009,Vipul Khand,26.84636,80.98246
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,5,81432131011,Aminabad,26.84833,80.92333
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,6,81432131012,Vrindavan Yojana,26.78063,80.95589
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,7,81432131013,Kakori,26.9043353,80.7653765
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,8,81432131014,"Gomti Nagar, Lucknow - UPPCB",26.86469,81.00491
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,9,81432144009,Awadh_vihar_yojna,26.76477,80.97511
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,10,81432144016,Lohiya college,26.85114,81.03126
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,11,81432144017,Aziz Nagar,26.92933,80.92733
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,12,81432144019,Mubarakpur,26.93487,80.89838
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,13,81432144021,LPS Jankipuram,26.92222,80.95233
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,14,81432144022,Virat Khand,26.85672,81.01856
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,15,81432144031,Kalyanpur,26.9066,80.96939
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,16,81432147001,Arjunganj,26.80726,80.99811
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,17,81432147033,Kukrail_LCS_uppcb,26.90727,80.9852
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,18,81432147034,Talkatora_BPS,26.83298,80.90047
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,19,81432147041,UniWrld IndNagar,26.88362,80.9927
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,20,81432147044,Rahta,27.03761,80.65654
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,21,81432147045,Qaiserbagh,26.84706,80.93305
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,22,81432147046,CMS_IndNgr,26.87444,80.97576
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,23,81432147047,Aliganj -II,26.88364,80.93675
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,24,81432147055,Daliganj,26.86998,80.92704
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,25,81432147056,Rajajipuram-II,26.84018,80.88633
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,26,81432147062,Tiwariganj,26.89134,81.07359
3,phase3_lucknow_downsampling,lucknow_lcs,31,5,1180157120,943124341,16e698c0a5306170,27,81432147064,Rajajipuram-I,26.84618,80.87375
