dataset_key,city,time_aggregation,time_index,sample_size,n_sensors_available,estimator,estimator_label,draws,seed_used,reference_mean_ugm3,estimator_mean_ugm3,estimator_median_ugm3,bias_ugm3,relative_bias_pct,median_absolute_error_ugm3,p75_absolute_error_ugm3,p95_absolute_error_ugm3,median_ape_pct,p75_ape_pct,p95_ape_pct
lucknow_lcs,Lucknow,period,study_period,15,71,arithmetic_mean,Arithmetic mean,10000,393422364,61.802242631595966,61.75745478405129,61.7083236596096,-0.044787847544675685,-0.07246961540159097,2.656810619251985,4.5587667132316145,7.609700421777661,4.2988903090285415,7.37637748909289,12.312984283012499
lucknow_lcs,Lucknow,period,study_period,15,71,robust_arithmetic_median,Robust median,10000,393422364,61.802242631595966,60.369854719575656,59.48726664508471,-1.4323879120203102,-2.3176956871270753,2.6243801606191326,3.238838029950635,8.184400439233677,4.246415742974085,5.240648060714228,13.24288584157213
lucknow_lcs,Lucknow,period,study_period,15,71,lognormal_mean,Lognormal mean,10000,393422364,61.802242631595966,61.991765823227624,61.931400410297115,0.18952319163165754,0.30666070285087865,2.650686856961684,4.539600709836522,7.588748576731707,4.288981668128883,7.345365663989162,12.279082851359204
lucknow_lcs,Lucknow,period,study_period,15,71,robust_lognormal_median_mad,Robust lognormal,10000,393422364,61.802242631595966,62.31581403333561,61.85474277783043,0.5135714017396467,0.8309915301958425,2.853489003595378,4.504494322476916,7.949380904720677,4.617128573480846,7.288561273299206,12.862609132336909
lucknow_lcs,Lucknow,period,study_period,20,71,arithmetic_mean,Arithmetic mean,10000,3226037262,61.802242631595966,61.75316302672777,61.738707891907524,-0.04907960486819718,-0.07941395454006643,2.165001399228803,3.7682319702786007,6.397877728122368,3.503111387291246,6.09724147510485,10.35217729275652
lucknow_lcs,Lucknow,period,study_period,20,71,robust_arithmetic_median,Robust median,10000,3226037262,61.802242631595966,60.45142526741412,60.256230362498904,-1.350817364181843,-2.1857092989878772,2.467688406860489,3.329761334111886,6.476550553502101,3.9928784163552353,5.387767809593318,10.479474979749375
lucknow_lcs,Lucknow,period,study_period,20,71,lognormal_mean,Lognormal mean,10000,3226037262,61.802242631595966,61.9508927473577,61.933882525907265,0.1486501157617326,0.24052543958289346,2.1498339983505304,3.742774780863698,6.354536194515699,3.478569558010574,6.056050106748441,10.28204790624699
lucknow_lcs,Lucknow,period,study_period,20,71,robust_lognormal_median_mad,Robust lognormal,10000,3226037262,61.802242631595966,62.33274195286876,62.14863370438833,0.5304993212727922,0.8583819917913109,2.350446181825383,3.8112494062936904,6.445433407586088,3.8031729622441466,6.166846450884641,10.429125438064451
chicago_lcs_corrected_no_collocation,Chicago,period,study_period,5,277,arithmetic_mean,Arithmetic mean,10000,4072909068,10.253490712654873,10.252472880741912,10.24480844647207,-0.0010178319129607871,-0.00992668683753307,0.26627178649237493,0.47118405195994306,0.9150824712333031,2.596889137118366,4.595352599075426,8.924594529586953
chicago_lcs_corrected_no_collocation,Chicago,period,study_period,5,277,robust_arithmetic_median,Robust median,10000,4072909068,10.253490712654873,10.252883016743011,10.243088235294117,-0.0006076959118619385,-0.0059267222148250386,0.29096283161397984,0.47739164028630476,0.8642298755804205,2.8376953738776307,4.655893818649559,8.428640545934146
chicago_lcs_corrected_no_collocation,Chicago,period,study_period,5,277,lognormal_mean,Lognormal mean,10000,4072909068,10.253490712654873,10.264239624545327,10.251156160935189,0.010748911890454238,0.10483173186267107,0.2643838776528904,0.4683915071740836,0.8926001836275146,2.5784767847557264,4.568117534802017,8.705329810518736
chicago_lcs_corrected_no_collocation,Chicago,period,study_period,5,277,robust_lognormal_median_mad,Robust lognormal,10000,4072909068,10.253490712654873,10.285496833818119,10.270109990436026,0.03200612116324564,0.31214853614431654,0.29111121698846176,0.48017648189128126,0.8697783450506584,2.8391425432235664,4.683053755523929,8.482753526827471
chicago_lcs_corrected_no_collocation,Chicago,period,study_period,10,277,arithmetic_mean,Arithmetic mean,10000,3032715325,10.253490712654873,10.250640046695018,10.245036929830619,-0.0028506659598548367,-0.02780190707479298,0.19644921039155783,0.3450888434761281,0.6797781294911026,1.9159251799887032,3.3655742531684254,6.6297239500311775
chicago_lcs_corrected_no_collocation,Chicago,period,study_period,10,277,robust_arithmetic_median,Robust median,10000,3032715325,10.253490712654873,10.25110862442934,10.254606102127198,-0.0023820882255325415,-0.02323197330829553,0.21053863419083196,0.3256046832431103,0.5725576300833832,2.0533361768298564,3.1755495993305827,5.58402641723498
chicago_lcs_corrected_no_collocation,Chicago,period,study_period,10,277,lognormal_mean,Lognormal mean,10000,3032715325,10.253490712654873,10.257000253029304,10.24899825343197,0.003509540374430742,0.034227761771893565,0.1953573542579603,0.34208995014415855,0.6612917172571691,1.905276551495287,3.3363267177094196,6.4494301091139805
chicago_lcs_corrected_no_collocation,Chicago,period,study_period,10,277,robust_lognormal_median_mad,Robust lognormal,10000,3032715325,10.253490712654873,10.281173271138206,10.285025639058698,0.027682558483332897,0.26998179702027764,0.21284632952283733,0.3309635981810559,0.5717873096545201,2.075842612898084,3.227813897296266,5.57651365450421
chicago_lcs_corrected_no_collocation,Chicago,period,study_period,15,277,arithmetic_mean,Arithmetic mean,10000,2389260813,10.253490712654873,10.252195523820387,10.243545894806449,-0.001295188834486538,-0.012631686815574078,0.16490741190089953,0.28904491666261345,0.5459724839419208,1.6083050789461444,2.8189903786217294,5.324747437163821
chicago_lcs_corrected_no_collocation,Chicago,period,study_period,15,277,robust_arithmetic_median,Robust median,10000,2389260813,10.253490712654873,10.25593667146597,10.243088235294117,0.002445958811096105,0.02385488883388073,0.19316369910983155,0.29096283161397984,0.48084365383134475,1.8838823238161093,2.8376953738776307,4.689560534129971
chicago_lcs_corrected_no_collocation,Chicago,period,study_period,15,277,lognormal_mean,Lognormal mean,10000,2389260813,10.253490712654873,10.256841335530932,10.24733553457408,0.0033506228760593615,0.03267787497894759,0.16349693016440714,0.2863410429705886,0.5321518228198828,1.5945489662619872,2.792620103680263,5.189957622559703
chicago_lcs_corrected_no_collocation,Chicago,period,study_period,15,277,robust_lognormal_median_mad,Robust lognormal,10000,2389260813,10.253490712654873,10.28753375841934,10.274906286807784,0.034043045764466484,0.3320142058786917,0.19026927838875096,0.2969981996588609,0.4881896688033649,1.8556536863482047,2.896556967592561,4.761204573978309
chicago_lcs_corrected_no_collocation,Chicago,period,study_period,20,277,arithmetic_mean,Arithmetic mean,10000,1882917699,10.253490712654873,10.25388698952821,10.248065906203966,0.000396276873336987,0.0038647996515752585,0.1446152792457891,0.254014398511504,0.46722820439710094,1.4104004509147767,2.4773455755706593,4.556772103186744
chicago_lcs_corrected_no_collocation,Chicago,period,study_period,20,277,robust_arithmetic_median,Robust median,10000,1882917699,10.253490712654873,10.255072583743639,10.250257352941176,0.0015818710887653964,0.015427634676774504,0.16126644794899114,0.250792146842409,0.38751885042526457,1.5727955724381342,2.4459196762413895,3.779384614324449
chicago_lcs_corrected_no_collocation,Chicago,period,study_period,20,277,lognormal_mean,Lognormal mean,10000,1882917699,10.253490712654873,10.257551222328084,10.251824628935104,0.004060509673211143,0.03960124202579768,0.1423193569746859,0.2492557125324435,0.4568134913869444,1.3880088348744994,2.4309351762986604,4.455199738203737
chicago_lcs_corrected_no_collocation,Chicago,period,study_period,20,277,robust_lognormal_median_mad,Robust lognormal,10000,1882917699,10.253490712654873,10.286192017410066,10.281976657202733,0.03270130475519295,0.31892850612165624,0.16073196174966942,0.25572846167161023,0.3945785849312805,1.5675828481640286,2.494062449932195,3.8482366248627025
