city,dataset_key,resolution,weight_scheme,scheme_type,parameter,time_windows_available,time_windows_sampled,time_windows_tested,n_permutations,alpha,median_observed_morans_i,p10_observed_morans_i,p90_observed_morans_i,positive_sig_pct,negative_sig_pct,two_sided_sig_pct,median_p_positive,median_p_two_sided,median_valid_sensor_count,min_valid_sensor_count
Chicago,chicago_lcs_corrected_no_collocation,highest_hourly,knn_4,k_nearest_neighbor,4,6557,120,120,199,0.05,0.2071348544632859,0.020096808755882076,0.5566013705076361,78.33333333333333,0.0,75.0,0.005,0.01,271.0,102.0
Chicago,chicago_lcs_corrected_no_collocation,highest_hourly,knn_5,k_nearest_neighbor,5,6557,120,120,199,0.05,0.2121479313915186,0.02680513592419417,0.5516097779779284,80.0,0.8333333333333334,75.0,0.005,0.01,271.0,102.0
Chicago,chicago_lcs_corrected_no_collocation,highest_hourly,knn_8,k_nearest_neighbor,8,6557,120,120,199,0.05,0.21581567121887651,0.024001737571033077,0.5180593692381008,83.33333333333334,0.0,79.16666666666666,0.005,0.01,271.0,102.0
Chicago,chicago_lcs_corrected_no_collocation,daily,band_2km,distance_band,2,274,240,240,199,0.05,0.12324424935747541,0.02475821630193996,0.34627251989146807,77.5,0.0,70.0,0.005,0.01,272.0,267.0
Chicago,chicago_lcs_corrected_no_collocation,daily,band_5km,distance_band,5,274,240,240,199,0.05,0.08327217957036917,0.009618360697572263,0.2857389169197714,81.66666666666667,0.0,80.0,0.005,0.01,272.0,267.0
Chicago,chicago_lcs_corrected_no_collocation,daily,band_10km,distance_band,10,274,240,240,199,0.05,0.045645437031316,0.00299217626263885,0.17695883422263242,82.5,0.4166666666666667,77.5,0.005,0.01,272.0,267.0
Chicago,chicago_lcs_corrected_no_collocation,daily,knn_4,k_nearest_neighbor,4,274,240,240,199,0.05,0.11913408393783664,0.015497315220952627,0.367635752428626,74.16666666666667,0.0,66.66666666666666,0.005,0.01,272.0,267.0
Chicago,chicago_lcs_corrected_no_collocation,daily,knn_5,k_nearest_neighbor,5,274,240,240,199,0.05,0.1277039995108533,0.023715279645649706,0.3661117781580087,77.91666666666667,0.0,74.16666666666667,0.005,0.01,272.0,267.0
Chicago,chicago_lcs_corrected_no_collocation,daily,knn_8,k_nearest_neighbor,8,274,240,240,199,0.05,0.12663596866552979,0.032972094780499325,0.36183911294327326,84.16666666666667,0.0,78.75,0.005,0.01,272.0,267.0
Chicago,chicago_lcs_corrected_no_collocation,weekly,band_2km,distance_band,2,40,40,40,199,0.05,0.08897570530188709,0.03507177984353099,0.1934927614512993,82.5,0.0,75.0,0.015,0.03,273.0,269.0
Chicago,chicago_lcs_corrected_no_collocation,weekly,band_5km,distance_band,5,40,40,40,199,0.05,0.052950512158004864,0.019671295798221133,0.14416611487140402,85.0,0.0,80.0,0.005,0.01,273.0,269.0
Chicago,chicago_lcs_corrected_no_collocation,weekly,band_10km,distance_band,10,40,40,40,199,0.05,0.02837854991865372,0.01220520192267649,0.08548533710457759,95.0,0.0,85.0,0.005,0.01,273.0,269.0
Chicago,chicago_lcs_corrected_no_collocation,weekly,knn_4,k_nearest_neighbor,4,40,40,40,199,0.05,0.09118677404376936,0.01104160884320516,0.20773269651849163,65.0,0.0,60.0,0.015,0.03,273.0,269.0
Chicago,chicago_lcs_corrected_no_collocation,weekly,knn_5,k_nearest_neighbor,5,40,40,40,199,0.05,0.099011972079244,0.040744945755714856,0.20976128976376185,85.0,0.0,75.0,0.01,0.02,273.0,269.0
Chicago,chicago_lcs_corrected_no_collocation,weekly,knn_8,k_nearest_neighbor,8,40,40,40,199,0.05,0.09195221095908422,0.05051339678201683,0.1951623197339541,95.0,0.0,87.5,0.005,0.01,273.0,269.0
Chicago,chicago_lcs_corrected_no_collocation,monthly,band_2km,distance_band,2,10,10,10,199,0.05,0.08009545008629049,0.03530454634392538,0.17665814023393414,80.0,0.0,60.0,0.0175,0.035,273.5,271.0
Chicago,chicago_lcs_corrected_no_collocation,monthly,band_5km,distance_band,5,10,10,10,199,0.05,0.048526616487061275,0.025831647965569585,0.12104591762981111,90.0,0.0,80.0,0.005,0.01,273.5,271.0
Chicago,chicago_lcs_corrected_no_collocation,monthly,band_10km,distance_band,10,10,10,10,199,0.05,0.02616094179564607,0.006962479202193369,0.0430398971108613,90.0,0.0,70.0,0.005,0.01,273.5,271.0
Chicago,chicago_lcs_corrected_no_collocation,monthly,knn_4,k_nearest_neighbor,4,10,10,10,199,0.05,0.06717965988107538,0.02971166877299038,0.1956252405758931,60.0,0.0,50.0,0.035,0.07,273.5,271.0
Chicago,chicago_lcs_corrected_no_collocation,monthly,knn_5,k_nearest_neighbor,5,10,10,10,199,0.05,0.07868403227002324,0.030339694300742986,0.1863519700905875,80.0,0.0,70.0,0.02,0.04,273.5,271.0
Chicago,chicago_lcs_corrected_no_collocation,monthly,knn_8,k_nearest_neighbor,8,10,10,10,199,0.05,0.08509458711792231,0.056716420738036066,0.1700662308245325,90.0,0.0,80.0,0.0075,0.015,273.5,271.0
Chicago,chicago_lcs_corrected_no_collocation,total_period,band_2km,distance_band,2,1,1,1,199,0.05,0.06575805600522948,0.06575805600522948,0.06575805600522948,100.0,0.0,100.0,0.02,0.04,277.0,277.0
Chicago,chicago_lcs_corrected_no_collocation,total_period,band_5km,distance_band,5,1,1,1,199,0.05,0.033568105352073836,0.033568105352073836,0.033568105352073836,100.0,0.0,100.0,0.025,0.05,277.0,277.0
Chicago,chicago_lcs_corrected_no_collocation,total_period,band_10km,distance_band,10,1,1,1,199,0.05,0.01565254287838729,0.01565254287838729,0.01565254287838729,100.0,0.0,100.0,0.015,0.03,277.0,277.0
Chicago,chicago_lcs_corrected_no_collocation,total_period,knn_4,k_nearest_neighbor,4,1,1,1,199,0.05,0.06231568364564735,0.06231568364564735,0.06231568364564735,100.0,0.0,0.0,0.04,0.08,277.0,277.0
Chicago,chicago_lcs_corrected_no_collocation,total_period,knn_5,k_nearest_neighbor,5,1,1,1,199,0.05,0.06789241294395143,0.06789241294395143,0.06789241294395143,100.0,0.0,100.0,0.02,0.04,277.0,277.0
Chicago,chicago_lcs_corrected_no_collocation,total_period,knn_8,k_nearest_neighbor,8,1,1,1,199,0.05,0.0826993177913234,0.0826993177913234,0.0826993177913234,100.0,0.0,100.0,0.005,0.01,277.0,277.0
