city,dataset_key,resolution,distance_bin_label,distance_bin_left_km,distance_bin_right_km,pair_count,median_distance_km,median_pearson_correlation,p10_pearson_correlation,p90_pearson_correlation,median_mean_abs_difference_ugm3,p10_mean_abs_difference_ugm3,p90_mean_abs_difference_ugm3,median_semivariance_ugm3_sq,p10_semivariance_ugm3_sq,p90_semivariance_ugm3_sq
Chicago,chicago_lcs_corrected_no_collocation,weekly,5-10 km,5.0,10.0,8670,7.547156401855778,0.9780631418541286,0.8970784063166841,0.9910859701419101,0.903696832134133,0.45745767632684725,2.096007296566377,0.6709442223110428,0.18824454340120425,3.151073778418775
Chicago,chicago_lcs_corrected_no_collocation,weekly,10-20 km,10.0,20.0,14367,14.284922733998222,0.9717215047042209,0.8747636128302345,0.9880411964316587,0.9748688090184805,0.5155810967950953,2.1652514051889424,0.7889570426069519,0.2365806564620271,3.3187520451114523
Chicago,chicago_lcs_corrected_no_collocation,weekly,20-50 km,20.0,50.0,11351,26.27938572915566,0.9677012894453114,0.8552244675030763,0.9853155207533144,0.9823320689702136,0.5493618652422663,2.298867831543773,0.8018769846593695,0.25978791988697475,3.7814616184479033
Dhaka,dhaka_lcs,daily,0-1 km,0.0,1.0,15,0.5002149727936732,0.9062548918810549,0.46574678971278355,0.9883830205118642,14.906712434481369,8.30973127013404,34.41009245959882,265.1552259964662,64.06296612272534,1428.0323401334035
Dhaka,dhaka_lcs,daily,1-2 km,1.0,2.0,24,1.589382622534718,0.9320610189892549,0.6596053813262325,0.9617553905172969,14.025382560096993,11.05199685204074,21.740506512328743,268.455678848878,144.9564753717051,664.4603535168552
Dhaka,dhaka_lcs,daily,2-5 km,2.0,5.0,133,3.7270082722906737,0.9326613781935815,0.7489859730261207,0.9677246880833011,13.286772457998802,9.180994151726267,31.088257126390086,216.1122376330443,104.24146972608855,1264.2054667815705
Dhaka,dhaka_lcs,daily,5-10 km,5.0,10.0,195,7.257033317283711,0.9266822534230084,0.780086326580976,0.9618974138393168,15.569666429141455,9.113046887419298,32.7749673837108,320.82881066194295,116.41070685514978,1480.568082536633
Dhaka,dhaka_lcs,daily,10-20 km,10.0,20.0,202,13.7458088777659,0.9097933760653387,0.8245050359266349,0.9577976066898883,16.145082366399485,9.486287970925343,34.79449878001365,311.68942794217617,129.40962834895612,1503.468639652613
Dhaka,dhaka_lcs,daily,20-50 km,20.0,50.0,26,23.536335023146364,0.8924743082170841,0.8370848038792424,0.9343479396274299,28.23591309684818,14.692403709411419,36.581659876244686,1123.773787091951,256.91993376215515,1774.9243043321999
Dhaka,dhaka_lcs,highest_hourly,0-1 km,0.0,1.0,15,0.5002149727936732,0.8133173227746477,0.5499181270945365,0.9588209626411374,18.73172514619883,10.432491119499964,36.08602392139692,523.1753638357256,203.51923431375383,1726.594441273686
Dhaka,dhaka_lcs,highest_hourly,1-2 km,1.0,2.0,24,1.589382622534718,0.7982074498701638,0.5816254590378148,0.9188232075484186,18.585046497063235,13.556246395294194,25.61937756692067,852.2259550718125,300.84415419566756,1596.9314451601697
Dhaka,dhaka_lcs,highest_hourly,2-5 km,2.0,5.0,133,3.7270082722906737,0.8032718868171634,0.5975445448013386,0.917620051467186,17.738706092670437,12.831980032330138,33.261301890332305,728.0363015765256,311.77949862825324,2013.2972145065728
Dhaka,dhaka_lcs,highest_hourly,5-10 km,5.0,10.0,195,7.257033317283711,0.7993273108490674,0.613895113389895,0.9055912619067475,20.67127888232133,13.916916372385264,34.40985614952753,877.8206350750283,342.8441887833523,2332.915319686224
Dhaka,dhaka_lcs,highest_hourly,10-20 km,10.0,20.0,202,13.7458088777659,0.7509706774386112,0.6162652257478111,0.8614764627287693,21.6810540357297,14.630244063483255,38.15369261052033,921.0737176457756,465.60714308066594,2610.9911806641812
