dataset_key,city,network,sample_size,n_sensors_available,n_draws_completed,reference_mean_ugm3,best_ape_pct,ape_median_pct,ape_p95_pct,worst_ape_pct,best_absolute_error_ugm3,absolute_error_median_ugm3,absolute_error_p95_ugm3,worst_absolute_error_ugm3
chicago_lcs_corrected_no_collocation,Chicago,LCS corrected,3,277,10000,10.253490712654873,1.886580877682002e-05,3.2222263260098707,10.734337974655979,37.83358741940101,1.934403950798469e-06,0.3303906770781424,1.1006443472963359,3.8792633723124457
chicago_lcs_corrected_no_collocation,Chicago,LCS corrected,4,277,10000,10.253490712654873,0.00010850529572207814,2.8683276232093857,9.666919835568015,31.411926334440338,1.1125580419601988e-05,0.2941037064542886,0.9911967275397582,3.22081894936783
chicago_lcs_corrected_no_collocation,Chicago,LCS corrected,5,277,10000,10.253490712654873,0.0009850964452179638,2.5868980305683946,9.070439696448076,25.667227016428296,0.00010100677252111723,0.2652473493101821,0.9300366918722645,2.631786738325518
chicago_lcs_corrected_no_collocation,Chicago,LCS corrected,6,277,10000,10.253490712654873,0.0003394924767130762,2.4415474940359254,8.506337131428678,23.45335128846887,3.480982956993728e-05,0.2503438455460314,0.8721964877581524,2.404787196169478
chicago_lcs_corrected_no_collocation,Chicago,LCS corrected,7,277,10000,10.253490712654873,0.00033208947750786125,2.271171585804873,7.743593618833683,19.472389559554845,3.4050763733972644e-05,0.23287436761895908,0.793988652532847,1.9965996550209333
chicago_lcs_corrected_no_collocation,Chicago,LCS corrected,8,277,10000,10.253490712654873,2.106837024949304e-05,2.11089497744792,7.418481822701004,20.616471196685094,2.160243386839511e-06,0.21644042046652068,0.7606533447106373,2.113907959429273
chicago_lcs_corrected_no_collocation,Chicago,LCS corrected,9,277,10000,10.253490712654873,0.0008180397422986281,2.022674001134049,7.005912771288397,16.975808038408353,8.387762900241569e-05,0.20739469085356443,0.7183506153407573,1.7406129006163198
chicago_lcs_corrected_no_collocation,Chicago,LCS corrected,10,277,10000,10.253490712654873,0.00018338884302027564,1.904132930486043,6.628507701647891,16.78953038285273,1.8803757987129188e-05,0.1952400931839895,0.6796534215760794,1.7215129385041728
chicago_lcs_corrected_no_collocation,Chicago,LCS corrected,11,277,10000,10.253490712654873,0.0008551354722093427,1.867596209990154,6.324304152832392,15.274186107696957,8.768123622360235e-05,0.19149380394123483,0.6484619389507158,1.5661372539863283
chicago_lcs_corrected_no_collocation,Chicago,LCS corrected,12,277,10000,10.253490712654873,5.648940939218664e-05,1.789536940324472,5.966455052722279,15.335351883131853,5.792136345661447e-06,0.18349000397569792,0.6117699147056063,1.5724088810898689
chicago_lcs_corrected_no_collocation,Chicago,LCS corrected,13,277,10000,10.253490712654873,0.0003282657978368069,1.732345827045306,5.910390886808157,12.337525132153948,3.3658703094019415e-05,0.1776259184871547,0.6060213806604743,1.2650269935968659
chicago_lcs_corrected_no_collocation,Chicago,LCS corrected,14,277,10000,10.253490712654873,0.00016122695593444048,1.6846505958754872,5.513300979136958,11.98395517995681,1.653139095303402e-05,0.17273549238877806,0.5653058038565181,1.2287737313855942
chicago_lcs_corrected_no_collocation,Chicago,LCS corrected,15,277,10000,10.253490712654873,4.587749596015931e-05,1.6375478100610186,5.340934688051972,11.538353549187633,4.704044787473549e-06,0.1679058126198898,0.5476322422083714,1.1830840095592379
chicago_lcs_corrected_no_collocation,Chicago,LCS corrected,16,277,10000,10.253490712654873,0.0003908907217985272,1.5462803863352266,5.210015189346448,11.277377270811035,4.0079943856241584e-05,0.15854771580448634,0.5342084235675463,1.1563248310936611
chicago_lcs_corrected_no_collocation,Chicago,LCS corrected,17,277,10000,10.253490712654873,0.0006985835875636796,1.573920041357609,5.013357787159973,10.955132746126953,7.162920327097311e-05,0.1613817452652162,0.5140441750986077,1.1232835186831398
chicago_lcs_corrected_no_collocation,Chicago,LCS corrected,18,277,10000,10.253490712654873,0.0005089729576137335,1.472096515009071,4.868071292842092,9.563795013150706,5.2187494938849e-05,0.15094127944777114,0.499147237896982,0.9806228334507576
chicago_lcs_corrected_no_collocation,Chicago,LCS corrected,19,277,10000,10.253490712654873,0.00041275680886475606,1.4739702121958989,4.769061282264975,10.522729699925312,4.2321981062798386e-05,0.1511333988148058,0.48899525565785856,1.078947112499618
chicago_lcs_corrected_no_collocation,Chicago,LCS corrected,20,277,10000,10.253490712654873,0.00083493770823737,1.4162506069592076,4.606137572771416,9.112053036289392,8.561026037057218e-05,0.14521512445248064,0.4722898882362238,0.9343035118081193
