dataset_key,city,network,sample_size,dates_evaluated,n_sensors_available_min,n_sensors_available_median,n_sensors_available_max,best_ape_min_over_days_pct,best_ape_median_over_days_pct,median_ape_median_over_days_pct,p95_ape_median_over_days_pct,worst_ape_median_over_days_pct,worst_ape_max_over_days_pct,best_absolute_error_min_over_days_ugm3,best_absolute_error_median_over_days_ugm3,median_absolute_error_median_over_days_ugm3,p95_absolute_error_median_over_days_ugm3,worst_absolute_error_median_over_days_ugm3,worst_absolute_error_max_over_days_ugm3,date_at_best_ape,date_at_worst_ape,date_at_worst_absolute_error
dhaka_lcs,Dhaka,LCS,25,345,26,33.0,35,2.011920808357727e-06,0.0003008374434580835,2.0814704370922135,5.828785990353526,10.927941968046488,26.32414200680237,4.027545443818781e-07,0.00010327598449677566,0.7292361111111134,2.0424950849560544,3.797684610075912,33.3796940163824,2022-09-14,2022-05-19,2022-05-19
dhaka_lcs,Dhaka,LCS,26,345,26,33.0,35,0.0,0.00028185772351210943,1.90452861691654,5.31300018337244,10.143640516666574,27.588098315789257,0.0,0.00010507285829675084,0.6325274589540886,1.8413996182712165,3.4728093508863864,34.98242336015953,2022-05-27,2022-05-19,2022-05-19
dhaka_lcs,Dhaka,LCS,27,344,27,33.0,35,0.0,0.0002863350930320585,1.6956624767845723,4.831818776673758,9.382906075643175,23.066137343349705,0.0,0.00011235834303668923,0.5605503188218899,1.666888157021948,3.0511859644146178,29.248459701437028,2023-03-12,2022-05-19,2022-05-19
dhaka_lcs,Dhaka,LCS,28,343,28,33.0,35,0.0,0.00025922548727392816,1.5178391125561888,4.35782269863273,8.47804772685384,21.106124235552024,0.0,0.00010041334344634834,0.4605511797372799,1.4211402343291668,2.5300488130926198,24.50521998245067,2023-03-08,2023-02-10,2022-05-19
dhaka_lcs,Dhaka,LCS,29,336,29,33.0,35,0.0,0.000337529237548531,1.3246817826430979,3.8801752572992316,7.691471560549404,21.127043095147364,0.0,0.00011237248359208252,0.4081693890864182,1.1743441354619573,2.2810437461097024,20.528291355624276,2022-07-02,2023-02-10,2023-01-31
dhaka_lcs,Dhaka,LCS,30,320,30,33.0,35,0.0,0.00035746247669275354,1.1467844455365923,3.4449289801405256,6.589338828822433,20.191209316782484,0.0,0.00013679278082889823,0.34253410840142706,1.0419481419255736,2.10775896909049,18.5589117410249,2022-05-06,2023-02-10,2023-02-10
dhaka_lcs,Dhaka,LCS,31,302,31,33.0,35,0.0,0.00047294533777724607,0.9261819664781072,2.898942402050486,5.444221379748216,19.073619174825122,0.0,0.00016129153602406632,0.2876018526302433,0.8753231626092444,1.7557274688830535,17.531669812034224,2022-04-21,2023-02-10,2023-02-10
dhaka_lcs,Dhaka,LCS,32,260,32,34.0,35,0.0,0.0010527611077667056,0.7209792755252857,2.443223557060551,4.060610601284504,17.858246889061736,0.0,0.00041399034756217645,0.22761938107495183,0.7358338307080032,1.3660070058213112,16.41455064249432,2022-06-29,2023-02-10,2023-02-10
dhaka_lcs,Dhaka,LCS,33,212,33,34.0,35,0.0,0.001953613973386612,0.4871351828939745,1.8545953026458744,2.590939906995902,16.214912459773036,0.0,0.0006200217174434641,0.13281265244586749,0.43854425050629686,0.7015114207838327,14.90406664147875,2022-05-09,2023-02-10,2023-02-10
dhaka_lcs,Dhaka,LCS,34,139,34,34.0,35,0.0,0.0,0.0,2.121438513347007e-14,2.1413426326731866e-14,6.923187886918347,0.0,0.0,0.0,1.4210854715202004e-14,1.4210854715202004e-14,4.890146649568948,2022-05-10,2022-11-28,2022-11-28
