target_N_star,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws,baseline_absolute_error_median_ugm3
50,13,0.1583016277223268,0.12458531295391069,0.142808040488416,0.24280182580206922,0.2654746694189385,0.1798666832608293,0.0509083366912978,100,0.1776259184871547
50,14,0.15226664930638956,0.11704082280599941,0.134713092238695,0.24021990767984036,0.2561947853781646,0.17288729605240377,0.05087820684448268,100,0.172735492388778
50,15,0.14459688479394828,0.10914861219699254,0.12861231344476476,0.23996508901183589,0.25166823011007655,0.16687440840262496,0.05157528264763244,100,0.1679058126198898
50,16,0.13794959006887764,0.10757946196900611,0.12196915092249427,0.23562283005128637,0.2441633743821527,0.16097839467542982,0.051400242423418285,100,0.1585477158044863
50,17,0.13194012421291657,0.10218173887807658,0.11644994300153777,0.2295057449804141,0.2371655580093141,0.15454993854642607,0.05054699792159074,100,0.1613817452652162
50,18,0.12555521259201097,0.09617778137213193,0.11142270157020251,0.21864926614126157,0.22878177407780792,0.1487009257028746,0.04927451894619982,100,0.1509412794477711
50,19,0.1214553341251472,0.09401925260943003,0.10875127274458496,0.21497468466138736,0.2237759752981702,0.14360744574440903,0.04871621870153834,100,0.1511333988148058
50,20,0.11516167536296251,0.08952738424459791,0.10337197832446021,0.20733331912677944,0.21704033834765477,0.13828975619022857,0.04762392255390149,100,0.1452151244524806
50,21,0.11182470046337967,0.08713407902110686,0.09743806755210227,0.19901408816876298,0.20820464665910313,0.13290100081782133,0.04597110352326974,100,0.1397936779048176
50,22,0.10681904019355715,0.08257316009167673,0.09514311072414716,0.19433444975723257,0.20150484619331516,0.12806066573562064,0.04495389385457882,100,0.1370145971757423
50,23,0.10281631149850412,0.07937203008850106,0.09127475675999341,0.18603837551556235,0.1935844140926409,0.12316282293435724,0.04303488099167908,100,0.1375612437731117
50,24,0.0986634882897417,0.07654695012767547,0.08725318601034071,0.1776865640104215,0.18711015022570288,0.11834005055442087,0.04167589397993039,100,0.1321613494229332
50,25,0.09434702585707466,0.07280537323195188,0.0850504432808119,0.17309110507549086,0.1799305780904757,0.11375817235687644,0.04024657259419444,100,0.1306150339719778
50,26,0.09131990362591225,0.06976158386380309,0.08107945096310365,0.16614844809362528,0.17258579794212414,0.10919089664319341,0.03832726981193036,100,0.1283359363517719
50,27,0.08763633194776421,0.06779655975536883,0.07706705400508262,0.1600817529399634,0.1661454637199228,0.10503520571990077,0.03712155440651033,100,0.1277459067296984
50,28,0.08349206115698582,0.06536312315489097,0.07483304495081011,0.1525473625264837,0.1587330666833228,0.10057567114984575,0.035122566636129254,100,0.124088533547634
50,29,0.08035025450091471,0.06281403364313469,0.07130333256375287,0.14479908058780167,0.15162812525690078,0.0965264363557986,0.03343598900519992,100,0.1205896870855287
50,30,0.07750976070615634,0.06008177200413347,0.06904887029260065,0.13799403659171672,0.1440247802679715,0.09208855039523751,0.03147932979758459,100,0.1200257445494319
70,2,0.4012240480319571,0.3413827355578869,0.37286001104036215,0.43130809889893507,0.4653165633842925,0.40176715195207174,0.0411160885944329,100,0.3934026696980695
70,3,0.33729215011290714,0.2859951200393144,0.3097352651426837,0.36340917175279164,0.404934686407384,0.33835015614152497,0.037238791597895365,100,0.3303906770781424
70,4,0.29803914535412357,0.2504600562781976,0.2705466512121677,0.322593158535706,0.35259462034609534,0.2985613404486685,0.0344631127500926,100,0.2941037064542886
70,5,0.2732754719288675,0.2196665089527361,0.24342969802999237,0.2943865267712795,0.32286486280058324,0.27154308625376344,0.03446542964725235,100,0.2652473493101821
70,6,0.2502961921622897,0.20049608690451853,0.2242908131199468,0.27293298336872995,0.30142568559358474,0.2503479884468513,0.03406162501770283,100,0.2503438455460314
70,7,0.23378363089190568,0.18563053851960637,0.20860984327584475,0.25690283367987576,0.28958992852557225,0.23403372433453234,0.03379599953259628,100,0.232874367618959
70,8,0.21966376645665253,0.1724744203696015,0.19421764822204057,0.24293715173606767,0.27176282304396937,0.22082288173130357,0.033379552432004994,100,0.2164404204665206
70,9,0.20926081077126213,0.16176219769061953,0.18303068163590308,0.23297902497714373,0.2626742948252091,0.2093990007267054,0.03318633879535541,100,0.2073946908535644
70,10,0.19751271897593936,0.15129243808177825,0.17086762268477984,0.2247603908351421,0.2515940209208159,0.1999424115956568,0.033793457928302864,100,0.1952400931839895
70,11,0.18800680999351194,0.1429236452179757,0.16340546731722205,0.2213488445639813,0.24595969608238452,0.19147965749328796,0.034647147593383165,100,0.1914938039412348
70,12,0.17984185137777065,0.13777721034503504,0.15549070515676444,0.21220618505177624,0.2387354377274138,0.18397901498355856,0.03454680312025361,100,0.1834900039756979
70,13,0.1734868263738898,0.12945309816227218,0.14758129240814388,0.20871358058893152,0.23531090712872776,0.17729030933942366,0.035539978935067815,100,0.1776259184871547
70,14,0.165779846585413,0.12534660765140546,0.1412635359193828,0.2053065466459516,0.22510628296033988,0.17123750419919026,0.03554119361557732,100,0.172735492388778
70,15,0.1607124157330917,0.1207674636088782,0.13511984869944116,0.2005473934617843,0.22225273843174187,0.16620939403176702,0.036045077256502064,100,0.1679058126198898
70,16,0.15324685824262563,0.11488275436623932,0.12975855788697888,0.19651407149586442,0.21436533194683619,0.16052401447502893,0.03598402692267808,100,0.1585477158044863
70,17,0.14818575897823827,0.10897364205771787,0.12551024130871702,0.19350342526995012,0.21057819826706572,0.15534057418635278,0.03597889841563261,100,0.1613817452652162
70,18,0.14384104938008946,0.10611514924060743,0.12063539347266916,0.18890640554004134,0.20704665523499358,0.1506315338801722,0.035957568275377695,100,0.1509412794477711
70,19,0.1368440162506528,0.10258395351545539,0.11675465680038255,0.18658667423989383,0.19889026283926423,0.14597293119644544,0.0355663271932876,100,0.1511333988148058
70,20,0.1344880450562731,0.09800351488507694,0.11255612588488995,0.18228710584074603,0.19581945115742455,0.14185105489025585,0.03528333444360903,100,0.1452151244524806
70,21,0.13045538412685076,0.09559589824001447,0.10868578814909169,0.17865214620519043,0.19086800739602197,0.13793189678866047,0.035312649294183526,100,0.1397936779048176
70,22,0.1251530434884809,0.09296727849407746,0.10466997996416016,0.17544875992402797,0.18624380746011598,0.13395733158263945,0.03469241578683287,100,0.1370145971757423
70,23,0.12195116661527994,0.08921909197548024,0.1016887663850008,0.17001886633178853,0.1819230225903457,0.1300698966910055,0.03428290807447315,100,0.1375612437731117
70,24,0.11780236910135988,0.0865198512004111,0.09860179899483823,0.16780705033999954,0.17668557206732424,0.1265186283055964,0.03361100353527024,100,0.1321613494229332
70,25,0.11444276993704117,0.08347726763378076,0.09559995458108439,0.1631704390483244,0.17270755429941062,0.12312726063022118,0.0333521930993843,100,0.1306150339719778
70,26,0.11202470748968274,0.0811805553914707,0.09246824931134823,0.1594490810633391,0.16958225400909757,0.1197947456145628,0.032540111247503674,100,0.1283359363517719
70,27,0.10927668428219484,0.07851761234699386,0.09031847891719247,0.1558632173929928,0.16363752243542584,0.11650367362488208,0.03186107110471422,100,0.1277459067296984
70,28,0.10488799876414756,0.07817549856648806,0.08724351218738935,0.15206421520148217,0.16067876847999157,0.11333111060531012,0.03134747780620152,100,0.124088533547634
70,29,0.10231288174102815,0.07508321883025215,0.08443071928464807,0.14805930670786105,0.1563569286790775,0.11024692202561928,0.030557984601875136,100,0.1205896870855287
70,30,0.09869815597207765,0.07284818647811937,0.08284923414461565,0.1441554996846761,0.15461759646829315,0.10718294567199585,0.030275814741329305,100,0.1200257445494319
100,2,0.4014510257580248,0.34725333862243835,0.3811340349490029,0.4177885808020445,0.44450779733208134,0.3980124139196727,0.0281994986050644,100,0.3934026696980695
100,3,0.3371611662624816,0.2920523387566528,0.3182331744521678,0.34924267013555266,0.3665692052920971,0.3333691151859315,0.023524198063519467,100,0.3303906770781424
100,4,0.2964203354616508,0.25507766571825524,0.2805480481832425,0.31043480230891585,0.3257308355926155,0.2946387516884093,0.021655023417559042,100,0.2941037064542886
100,5,0.2691946188088199,0.23213118639431585,0.2545776952918739,0.28373572910098854,0.2981455242255561,0.2683033801984206,0.020572110530830155,100,0.2652473493101821
100,6,0.2497154347127717,0.21233967860890846,0.2328955720903232,0.2639618873127181,0.2754859579331971,0.24714771349423625,0.02088048967077887,100,0.2503438455460314
100,7,0.23364139026391095,0.1951749108794064,0.2173624638495375,0.24635131806590382,0.2600804742430951,0.23109480852725117,0.02035903378279459,100,0.232874367618959
