dataset_key,city,scenario,n,period_mdape_pct,daily_fraction_days_mdape_le_10,daily_valid_days_evaluated,period_seed,daily_seed
dhaka_lcs,Dhaka,S1_daily_18h,1,11.43211093946327,0.07397260273972603,365,2654322097,3915337970
dhaka_lcs,Dhaka,S1_daily_18h,2,8.626317737696775,0.16164383561643836,365,3409715215,4214198126
dhaka_lcs,Dhaka,S1_daily_18h,3,7.945222139574153,0.3972602739726027,365,904066316,2198408203
dhaka_lcs,Dhaka,S1_daily_18h,5,6.4669540043380245,0.7342465753424657,365,2623787381,3298290565
dhaka_lcs,Dhaka,S1_daily_18h,7,5.427460901859896,0.915068493150685,365,2660237634,1202388958
dhaka_lcs,Dhaka,S1_daily_18h,10,4.279722921177749,0.978021978021978,364,1432692696,618398147
dhaka_lcs,Dhaka,S1_daily_18h,15,3.166081934379589,1.0,345,2666824403,28379078
dhaka_lcs,Dhaka,S1_daily_18h,20,2.2979272355887943,1.0,342,509465370,2418873197
dhaka_lcs,Dhaka,S1_daily_18h,30,1.075154108949083,1.0,242,3888229103,2617674345
dhaka_lcs,Dhaka,S2_daily_12h,1,10.658626724675473,0.03561643835616438,365,2084556469,3195565075
dhaka_lcs,Dhaka,S2_daily_12h,2,8.822530151633396,0.11506849315068493,365,843760515,3028931895
dhaka_lcs,Dhaka,S2_daily_12h,3,7.452051719143,0.33424657534246577,365,4066101246,1593494644
dhaka_lcs,Dhaka,S2_daily_12h,5,5.985491590195295,0.7424657534246575,365,2620123014,3335944980
dhaka_lcs,Dhaka,S2_daily_12h,7,4.873653757331972,0.915068493150685,365,2967320695,4156206564
dhaka_lcs,Dhaka,S2_daily_12h,10,3.9207738002474106,0.9808219178082191,365,2957018736,558732677
dhaka_lcs,Dhaka,S2_daily_12h,15,2.94193807817516,0.9972451790633609,363,2194719666,2454147674
dhaka_lcs,Dhaka,S2_daily_12h,20,2.168840171122892,1.0,344,4025663464,2986912625
dhaka_lcs,Dhaka,S2_daily_12h,30,0.9887695078837581,1.0,301,2855716049,4255444855
dhaka_lcs,Dhaka,S3_period_75pct,1,10.08333701689433,0.07123287671232877,365,258282780,2032438797
dhaka_lcs,Dhaka,S3_period_75pct,2,7.5222114499547645,0.1863013698630137,365,3275779812,4143723018
dhaka_lcs,Dhaka,S3_period_75pct,3,7.022919667931324,0.41643835616438357,365,582669666,1706630092
dhaka_lcs,Dhaka,S3_period_75pct,5,5.735119215426655,0.7534246575342466,365,4249931340,2545436688
dhaka_lcs,Dhaka,S3_period_75pct,7,4.9210477820564185,0.9123287671232877,365,3548656347,1717800637
dhaka_lcs,Dhaka,S3_period_75pct,10,3.890237359643651,0.9808219178082191,365,1492456035,3137214235
dhaka_lcs,Dhaka,S3_period_75pct,15,2.7021527498154585,1.0,345,2685399219,483020845
dhaka_lcs,Dhaka,S3_period_75pct,20,1.940086093809691,1.0,345,3898375330,67036847
dhaka_lcs,Dhaka,S3_period_75pct,30,0.3361112338964604,1.0,185,3048687441,3224878240
dhaka_lcs,Dhaka,S4_daily_18h_period_75pct,1,10.12060359740254,0.07123287671232877,365,146714170,4213555781
dhaka_lcs,Dhaka,S4_daily_18h_period_75pct,2,7.687604229717252,0.2,365,2344973437,3061221396
dhaka_lcs,Dhaka,S4_daily_18h_period_75pct,3,7.080864491818001,0.4191780821917808,365,4065664388,3125856828
dhaka_lcs,Dhaka,S4_daily_18h_period_75pct,5,5.743905493320692,0.7643835616438356,365,3171646748,2945961942
dhaka_lcs,Dhaka,S4_daily_18h_period_75pct,7,4.809272327092507,0.915068493150685,365,1634106066,1493541010
dhaka_lcs,Dhaka,S4_daily_18h_period_75pct,10,3.7697201531641427,0.9807692307692307,364,3305954981,2694014601
dhaka_lcs,Dhaka,S4_daily_18h_period_75pct,15,2.724713024706717,1.0,342,3946565975,4062984172
dhaka_lcs,Dhaka,S4_daily_18h_period_75pct,20,1.9670267254108076,1.0,342,1499869263,312080256
dhaka_lcs,Dhaka,S4_daily_18h_period_75pct,30,0.33735345324673544,1.0,99,1149048769,3281794616
dhaka_lcs,Dhaka,S5_drop_gap_gt_30d,1,11.900725221742139,0.03561643835616438,365,2696791000,2141436613
dhaka_lcs,Dhaka,S5_drop_gap_gt_30d,2,9.3097217895217,0.08493150684931507,365,1108126938,1556512613
dhaka_lcs,Dhaka,S5_drop_gap_gt_30d,3,8.136599908738233,0.23835616438356164,365,33048616,3239466415
dhaka_lcs,Dhaka,S5_drop_gap_gt_30d,5,6.339322093156835,0.6493150684931507,365,733639910,3803163270
dhaka_lcs,Dhaka,S5_drop_gap_gt_30d,7,5.327435355473726,0.8684931506849315,365,2247367561,423855376
dhaka_lcs,Dhaka,S5_drop_gap_gt_30d,10,4.1662604403762185,0.9671232876712329,365,1094588801,3631714802
dhaka_lcs,Dhaka,S5_drop_gap_gt_30d,15,2.853594312790471,0.9917808219178083,365,4021898537,2477784552
dhaka_lcs,Dhaka,S5_drop_gap_gt_30d,20,2.0295338800602654,0.9971014492753624,345,3336823663,1496709021
dhaka_lcs,Dhaka,S5_drop_gap_gt_30d,30,0.0,1.0,48,1622215328,4187599120
dhaka_lcs,Dhaka,S6_period_50pct,1,11.404801307236985,0.030136986301369864,365,984541821,858459725
dhaka_lcs,Dhaka,S6_period_50pct,2,8.947146507693235,0.10410958904109589,365,3241229402,760427935
