target_N_star,selection_strategy,selection_strategy_label,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws
50,random,Random,3,3.2357729101154185,2.538273002368491,2.996690449590485,3.449969502809569,4.015366414141534,3.234034230862122,0.47010220440591144,50
50,random,Random,4,2.835779896092169,2.2113361321373968,2.6274471265234505,3.0225153963580373,3.5283367288316576,2.8293116849711697,0.4338198144229689,50
50,random,Random,5,2.5387936852983852,1.965690988286527,2.3161340194046285,2.7120304461224602,3.227774002371787,2.548590093081859,0.40717365992487997,50
50,random,Random,6,2.3196323898007236,1.7891490815245783,2.060229329425173,2.5067029703317,2.960297386204691,2.327332609743107,0.4014730211748299,50
50,random,Random,7,2.1436288019360537,1.6428065709665645,1.9470579172140392,2.331395067800669,2.7717548979545272,2.167349452330421,0.38935958996055253,50
50,random,Random,8,1.9900517270373521,1.5469915867473958,1.8073950947525876,2.1447117941301386,2.6600489674368166,2.0253232931824696,0.3796578688316409,50
50,random,Random,9,1.8436891291022888,1.419737067348986,1.6616414137621194,2.03407671885559,2.5767925150325763,1.9092187523862973,0.3914726530702236,50
50,random,Random,10,1.7365496836033696,1.3590480246733392,1.5624755326034026,1.9101231645884393,2.491998909441471,1.8042961870791618,0.3759293404051465,50
50,random,Random,11,1.636878879227052,1.2735723288214018,1.50045812329367,1.8147933215320866,2.4494589742396626,1.7130936438931517,0.37611961189140464,50
50,random,Random,12,1.557696238984237,1.1880761229560437,1.3999497821168048,1.7713678742572707,2.4049625956144527,1.6303453853686465,0.3758219829693382,50
50,random,Random,13,1.4701376603528389,1.1508164310106959,1.308741124573969,1.7162218237806268,2.3689370810076706,1.5592224535483945,0.3745848770728045,50
50,random,Random,14,1.406406799358228,1.0816972586507267,1.2534495242841008,1.6468800134452755,2.333226449969437,1.4892727494127669,0.3673355225988273,50
50,random,Random,15,1.3455355400643847,1.021243458886016,1.2244962564419672,1.5727157034692119,2.3304764636837523,1.428772035103362,0.37242309921277367,50
50,random,Random,16,1.2753290075382702,0.9964054995103573,1.1557785521834978,1.517075812742132,2.2562486806207867,1.370022870058583,0.3666921594394674,50
50,random,Random,17,1.213151923700151,0.9439763437583513,1.1035384156718617,1.4466212218099328,2.1809557909328823,1.3121139715547332,0.35612563296364974,50
50,random,Random,18,1.1695548257580906,0.9033244394180113,1.0424977088670633,1.3893635665627395,2.1237218518774403,1.2580265553149959,0.34568314764091906,50
50,random,Random,19,1.1213384260471164,0.8665832487271153,1.009621222884066,1.336088818402364,2.03757879715607,1.2068119473843397,0.335542681108551,50
50,random,Random,20,1.069177795767078,0.8272350572930632,0.9550115714052807,1.2774697999608444,1.9925924641385484,1.1582734582654646,0.3264682357332433,50
50,random,Random,21,1.0402679846789522,0.7977826870585859,0.9190167429456947,1.2450213017662464,1.9160866951990776,1.115508428946986,0.31621915675006684,50
50,random,Random,22,0.9839707914678689,0.7729639532811778,0.8845440996855203,1.2111174394970727,1.854141405987639,1.0728183409003025,0.30513518814638513,50
50,random,Random,23,0.9480400963815767,0.7494683544612715,0.851359704160705,1.1577942610758096,1.7932765333476324,1.0278325839448528,0.2946395884650517,50
50,random,Random,24,0.9135078427622687,0.7144388579337528,0.8261553266018828,1.1181026866102746,1.7275852678335104,0.9936362389498753,0.28790110649017947,50
50,random,Random,25,0.8767379026943145,0.6783441186724819,0.7912665411516914,1.056273573894368,1.6762226837444154,0.950810982386842,0.2794836090466972,50
50,random,Random,26,0.8419178081838682,0.652942569485642,0.7494413569122085,1.0109340058727243,1.6095884111016951,0.9161126366466494,0.26604300809730413,50
50,random,Random,27,0.8084003272409814,0.6372564689792902,0.7272043689642316,0.9899938704163278,1.526148608833435,0.8775293736452157,0.2540055535676906,50
50,random,Random,28,0.7802274640682354,0.6025917558951034,0.6963487685101399,0.9437193363466096,1.4663358865373837,0.8421804880890125,0.24128941331668738,50
50,random,Random,29,0.7442949152457246,0.5767162000756331,0.6629479685712523,0.8920484382381287,1.40072709718788,0.8070529940652998,0.23007874309537527,50
50,random,Random,30,0.7161561628886874,0.5551309172234995,0.6368380476704368,0.8624975303898004,1.3183428982117325,0.7723748008283962,0.21536524262956377,50
70,anti_cluster,Anti-cluster,2,4.308617146650612,4.198987188660007,4.273082394161428,4.338192839346039,4.360031737881278,4.29764627777694,0.07240667983870461,20
70,anti_cluster,Anti-cluster,3,3.574057973321529,3.516360707119354,3.5488349197077547,3.5964820453475213,3.6455558548266738,3.575721952722508,0.04347794326034069,20
70,anti_cluster,Anti-cluster,4,3.146235617461432,3.0746608296922044,3.135685171836858,3.167718217678054,3.22110976580643,3.1502683777942417,0.04301440306141466,20
70,anti_cluster,Anti-cluster,5,2.8263636859453776,2.795281994693565,2.8008260324398275,2.877479570962281,2.9146083908598444,2.8421114336892495,0.04577913242690524,20
70,anti_cluster,Anti-cluster,6,2.6226196091964153,2.56812830200166,2.6052039724368097,2.656767600192625,2.68332133923182,2.626024898248537,0.03812527030859024,20
70,anti_cluster,Anti-cluster,7,2.4393016789522655,2.4165617404789033,2.421542499164811,2.4618545016521427,2.490441021624302,2.445579854440131,0.027981578113186148,20
70,anti_cluster,Anti-cluster,8,2.2771885553318345,2.234812322992338,2.2659177067466807,2.2957629182381574,2.3175563762683056,2.278466988512908,0.02950216757114292,20
70,anti_cluster,Anti-cluster,9,2.15130127977731,2.125892734539802,2.140885504587156,2.16376782854488,2.2121392345217568,2.1567332518224602,0.02747481668065434,20
70,anti_cluster,Anti-cluster,10,2.0415565893806984,1.9889712468556835,2.0229976651453443,2.0687663939898475,2.0900517897352175,2.043736527556256,0.03443752173338406,20
70,anti_cluster,Anti-cluster,11,1.9394906830828211,1.9189408483781014,1.9253628705673551,1.9684317882314306,1.978706042638141,1.945674006337025,0.024089652427733192,20
70,anti_cluster,Anti-cluster,12,1.8598504646119782,1.8232471076980048,1.8438999357725832,1.8754692479374557,1.886943926584173,1.8584603938243967,0.021278684854703574,20
70,anti_cluster,Anti-cluster,13,1.7849930367448668,1.7517456663542472,1.7685857261119742,1.7971060700380177,1.8174294668838886,1.7823273161996807,0.02254814144011713,20
70,anti_cluster,Anti-cluster,14,1.7067974407643152,1.6911798937684044,1.6970762945261626,1.7257508695517116,1.739609417017155,1.7106796867699265,0.01901057293152641,20
70,anti_cluster,Anti-cluster,15,1.6326046150708122,1.609839723110555,1.619987451024932,1.6482426031709259,1.6611133465050836,1.635126984556005,0.020945496125961766,20
70,anti_cluster,Anti-cluster,16,1.5745712291279328,1.5508926849574143,1.5665611454475388,1.580540947865425,1.5917217220125988,1.5739451882509923,0.012655485841491647,20
70,anti_cluster,Anti-cluster,17,1.526666678047913,1.4956790536723887,1.5132425464748074,1.534737764044229,1.5615642758333432,1.5249653258001437,0.01914987437443545,20
70,anti_cluster,Anti-cluster,18,1.4655385050084837,1.4557640665103908,1.4599356014747942,1.4796920065099295,1.494825814868187,1.4697192364367644,0.01424867341081734,20
70,anti_cluster,Anti-cluster,19,1.412024799035018,1.3823934257245603,1.397988435186636,1.4277933037232007,1.441165807715321,1.4129718933330473,0.02015846600776576,20
70,anti_cluster,Anti-cluster,20,1.3688332627460489,1.3511577828808123,1.3621823040897616,1.3782710653477255,1.3846299304296241,1.369014205717692,0.013894538103291497,20
70,anti_cluster,Anti-cluster,21,1.3274699165786883,1.302117862663876,1.3187859078581552,1.333390925513683,1.3460917152961516,1.3263723108946306,0.014536551207799233,20
70,anti_cluster,Anti-cluster,22,1.286267884929603,1.2686885401988153,1.2768785999721588,1.2935549696369382,1.3192209389981926,1.2870972099704392,0.015982051753814345,20
