target_N_star,selection_strategy,selection_strategy_label,time_index,selected_mean_abs_error_median_vs_full_ugm3,selected_mean_abs_error_p5_vs_full_ugm3,value_p25,value_p75,selected_mean_abs_error_p95_vs_full_ugm3,selected_mean_abs_error_mean_vs_full_ugm3,selected_mean_abs_error_sd_vs_full_ugm3,n_outer_draws,selected_mean_ape_median_vs_full_pct,selected_mean_ape_p5_vs_full_pct,selected_mean_ape_p95_vs_full_pct
50,kmeans_stratified,k-means stratified,2026-03-15,0.08177546578332695,0.0063801401157471465,0.03833705452330172,0.14965174129353254,0.34155574169966463,0.10871631883445892,0.10125667227179473,50,1.1854978649363122,0.09249280835958128,4.95152914951966
50,kmeans_stratified,k-means stratified,2026-03-16,0.1583935945273629,0.018702863234846025,0.06024939080109604,0.24757183978068853,0.5158439054726368,0.191268540448891,0.15717272038375882,50,4.4207620396502145,0.521996536969136,14.397193033613476
50,kmeans_stratified,k-means stratified,2026-03-17,0.1573223261526846,0.022430982615268526,0.06736103552532091,0.2530270455404404,0.3795501228269067,0.16660458553360713,0.12392768142680322,50,2.8059682563349977,0.4000743360211982,6.769576972226686
50,kmeans_stratified,k-means stratified,2026-03-18,0.09809168443496663,0.009152918443496284,0.049683613184079434,0.1683412291559998,0.2579501803482571,0.11640629068814175,0.08460426374640595,50,1.0757075515815706,0.1003740892553115,2.828771455305295
50,kmeans_stratified,k-means stratified,2026-03-19,0.1633451314104999,0.014175276752776078,0.07897513837638748,0.33964988327434575,0.5001891543037915,0.20270406925045392,0.16007084230949228,50,0.7786617404241984,0.06757315367773362,2.3843879157482037
50,kmeans_stratified,k-means stratified,2026-03-20,0.16040391156462874,0.0384986715727198,0.08348977695166848,0.23942688971499582,0.5160322215890984,0.19500295515882562,0.15537110649146274,50,0.8415620232228662,0.20198397672538523,2.707372383956722
50,kmeans_stratified,k-means stratified,2026-03-21,0.20356930272108542,0.03422999999999963,0.10022040816326161,0.35489361702128086,0.5798462500000017,0.24226132226081915,0.17757744178402246,50,1.0912903544606274,0.18349951752975033,3.108428487187744
50,kmeans_stratified,k-means stratified,2026-03-22,0.11604937188629805,0.02252325158688109,0.0672812109467702,0.18790949093391918,0.4140762233517953,0.15411525684751426,0.12406615591476682,50,1.2507725269814645,0.24275412994707246,4.46288640624531
50,kmeans_stratified,k-means stratified,2026-03-23,0.10786942379182163,0.005781950321654607,0.051628990118351314,0.17905897569954,0.5571205762081786,0.15749686265056742,0.16701506027550303,50,2.1136385157775135,0.11329394805841096,10.916453119081615
50,kmeans_stratified,k-means stratified,2026-03-24,0.08578979591836422,0.011519504480758249,0.04873206943293784,0.1618586000451816,0.29859274041719897,0.11562904659586745,0.08958961929971136,50,1.0190776939342285,0.13683760330525757,3.546916018070681
