phase,city,metric_name,target_N_star,selection_strategy,selection_strategy_label,aggregation,value_median,value_p5,value_p95,value_mean,value_sd,n_outer_draws,n_inner_draws,notes
4,Chicago,absolute_error_at_n10_ugm3,30,equidistant,Spatially balanced,period,0.20026591787502745,0.15192902056190802,0.2643920361489166,0.2132216787905584,0.05577646954130505,50,10000,Period median absolute error at n=10 across strategy-selected finite populations.
4,Chicago,absolute_error_at_n10_ugm3,30,kmeans_stratified,k-means stratified,period,0.17752043691498587,0.12519547262512049,0.39594594326946914,0.21615732154565792,0.0972459735322853,50,10000,Period median absolute error at n=10 across strategy-selected finite populations.
4,Chicago,absolute_error_at_n10_ugm3,30,random,Random,period,0.16234073143539218,0.10836122465547074,0.38198634655828717,0.19286044774200042,0.0867070559444617,50,10000,Period median absolute error at n=10 across strategy-selected finite populations.
4,Chicago,absolute_error_at_n10_ugm3,50,anti_cluster,Anti-cluster,period,0.22375247691491262,0.2202642182228439,0.22635145875495213,0.2233030959698598,0.0021964624684911657,20,10000,Period median absolute error at n=10 across strategy-selected finite populations.
4,Chicago,absolute_error_at_n10_ugm3,50,circumferential,Circumferential,period,0.2092007494599346,0.14280277787425585,0.23296036242724144,0.19920395881900274,0.03236139654926556,20,10000,Period median absolute error at n=10 across strategy-selected finite populations.
4,Chicago,absolute_error_at_n10_ugm3,50,cluster_concentrated,Cluster-concentrated,period,0.17303288331667233,0.14386873317357063,0.2107742289909206,0.17568758006478422,0.0262464277191514,20,10000,Period median absolute error at n=10 across strategy-selected finite populations.
4,Chicago,absolute_error_at_n10_ugm3,50,equidistant,Spatially balanced,period,0.2210702227802961,0.1673383252075266,0.2954183761201237,0.22263460491530965,0.04195205316988435,50,10000,Period median absolute error at n=10 across strategy-selected finite populations.
4,Chicago,absolute_error_at_n10_ugm3,50,kmeans_stratified,k-means stratified,period,0.1784343751450579,0.14615349970365826,0.27889248882281226,0.19116506603648234,0.044173611428736534,50,10000,Period median absolute error at n=10 across strategy-selected finite populations.
4,Chicago,absolute_error_at_n10_ugm3,50,random,Random,period,0.17765167300112106,0.14072401333433024,0.2564729801480363,0.18456579423211628,0.03893281060171409,50,10000,Period median absolute error at n=10 across strategy-selected finite populations.
4,Chicago,absolute_error_at_n10_ugm3,70,anti_cluster,Anti-cluster,period,0.20243738787297172,0.19759512993582487,0.20751622695074695,0.2026850441988896,0.0034054325177193382,20,10000,Period median absolute error at n=10 across strategy-selected finite populations.
4,Chicago,absolute_error_at_n10_ugm3,70,circumferential,Circumferential,period,0.2159460726168425,0.17129567762089382,0.24593820574001485,0.20953797740781513,0.026814275616524927,20,10000,Period median absolute error at n=10 across strategy-selected finite populations.
4,Chicago,absolute_error_at_n10_ugm3,70,cluster_concentrated,Cluster-concentrated,period,0.18137176194037696,0.15787043001475815,0.22780099076867405,0.18645709182348907,0.02320438110012122,20,10000,Period median absolute error at n=10 across strategy-selected finite populations.
4,Chicago,absolute_error_at_n10_ugm3,70,equidistant,Spatially balanced,period,0.21702557204032136,0.17941720212943735,0.2632998436553331,0.21840646713076756,0.023544457708280345,50,10000,Period median absolute error at n=10 across strategy-selected finite populations.
4,Chicago,absolute_error_at_n10_ugm3,70,kmeans_stratified,k-means stratified,period,0.19669697617563875,0.1553991706734504,0.24481487244104322,0.19367464216981836,0.029568393216541516,50,10000,Period median absolute error at n=10 across strategy-selected finite populations.
4,Chicago,absolute_error_at_n10_ugm3,70,random,Random,period,0.20276782178341035,0.1506689822132962,0.24929770025236567,0.20287099271432765,0.03161420242296263,50,10000,Period median absolute error at n=10 across strategy-selected finite populations.
