target_N_star,selection_strategy,selection_strategy_label,sample_size,value_median,value_p5,value_p25,value_p75,value_p95,value_mean,value_sd,n_outer_draws
50,anti_cluster,Anti-cluster,6,0.2890677168423821,0.28387553393019904,0.2851733238492682,0.29285172250016345,0.29756761938117143,0.28979810323083965,0.005390298627348939,20
50,anti_cluster,Anti-cluster,7,0.2690431795177046,0.2614792541759883,0.2665316594739169,0.27228720905494197,0.2755597649222224,0.2690306058818782,0.00439593841740432,20
50,anti_cluster,Anti-cluster,8,0.25032822472411276,0.2469930201646473,0.24789465844186487,0.25277636355977595,0.25514784317672423,0.25026698349614823,0.003317748254463955,20
50,anti_cluster,Anti-cluster,9,0.23472908019807237,0.22831305547923814,0.23171289018861985,0.23652094106008326,0.24030493404280176,0.23447384529210136,0.0036153542217784323,20
50,anti_cluster,Anti-cluster,10,0.22375247691491262,0.2202642182228439,0.22116353777278186,0.22499273280436705,0.22635145875495213,0.2233030959698598,0.002196462468491173,20
50,anti_cluster,Anti-cluster,11,0.21153148662944332,0.20813895336970872,0.21042055171968865,0.2127566429031733,0.21385826444744782,0.21143490903163506,0.002054592114150771,20
50,anti_cluster,Anti-cluster,12,0.19990758361047867,0.19672268801998735,0.19904177314567217,0.2022656698266434,0.20506879630835315,0.20073087970894316,0.0029498659961977843,20
50,anti_cluster,Anti-cluster,13,0.1908115009978606,0.18731311616554086,0.18840765153232897,0.19201531153660722,0.19633848465751064,0.19081653642283275,0.003197181817790901,20
50,anti_cluster,Anti-cluster,14,0.18081751642340294,0.17786582767810385,0.17979766771965555,0.18352992142992886,0.18500481849391842,0.1814133385214205,0.002689982878573253,20
50,anti_cluster,Anti-cluster,15,0.17368004236149126,0.17051502003977242,0.17281293469694559,0.1748256080293744,0.17644898003815213,0.17377711362613818,0.0018707427427847993,20
50,anti_cluster,Anti-cluster,16,0.16656040207984812,0.16369830741744362,0.16571810365902495,0.16790492055940387,0.16971057396160188,0.1666587510016495,0.001929530469455886,20
50,anti_cluster,Anti-cluster,17,0.15934643468075693,0.1565812147676761,0.1577145837872691,0.16027919378296818,0.16195764300813723,0.1591686414053269,0.0019408714920189953,20
50,anti_cluster,Anti-cluster,18,0.1520895938169704,0.15022840173920385,0.15120986978208717,0.15417004800920653,0.15794320803232464,0.15289744022441726,0.0025818630035579376,20
50,anti_cluster,Anti-cluster,19,0.14683136328689184,0.1446327500516352,0.14554787796573843,0.14750869285263457,0.14973531635770138,0.14682417594810643,0.0016748696465450027,20
50,anti_cluster,Anti-cluster,20,0.14077788848215356,0.13853854418992312,0.13919323011145757,0.14189036948129163,0.1427574031984268,0.14061673758054147,0.0017504673901407718,20
50,anti_cluster,Anti-cluster,21,0.13449881779156359,0.13192069199436665,0.13331900428436128,0.13620557349454598,0.1396223114386757,0.13486990923758807,0.0023956543920393425,20
50,anti_cluster,Anti-cluster,22,0.12979806353741052,0.1268546447778637,0.12872807157502608,0.13082788690761848,0.13175175730949712,0.12970085687667487,0.0016600075621815771,20
50,anti_cluster,Anti-cluster,23,0.12485792733564693,0.12334410858000769,0.12422396468222408,0.1263380609603526,0.12727641611695714,0.12510461120906852,0.001488064605719817,20
50,anti_cluster,Anti-cluster,24,0.11948525072619676,0.11821304416296674,0.11839155690038106,0.12076178826290107,0.12236080955522426,0.11975321464461666,0.0015203184249266055,20
50,anti_cluster,Anti-cluster,25,0.11499057501136356,0.11325923675501173,0.1139664311753048,0.11610842270655097,0.11702418860583781,0.11503161778379409,0.00145653039349499,20
50,anti_cluster,Anti-cluster,26,0.11053952243161236,0.10901869216927236,0.1099768918162296,0.1114889943382078,0.11223226544630802,0.11055039547277748,0.001305998068044069,20
50,anti_cluster,Anti-cluster,27,0.10653315806976016,0.10463699977525338,0.10519579065607876,0.10704196641561703,0.10878062456597756,0.10632311022391039,0.0013669788788218777,20
50,anti_cluster,Anti-cluster,28,0.10165822351693743,0.10002314566800696,0.10110327098670857,0.10230033744988387,0.10377802313812498,0.10175749319090346,0.0012453708571829973,20
50,anti_cluster,Anti-cluster,29,0.09744557317555902,0.09631043340794494,0.09667664089641037,0.09863311804007902,0.10000020986007838,0.09764810579426011,0.0012875737521774585,20
50,anti_cluster,Anti-cluster,30,0.09428131337721002,0.09145371958028856,0.092839666923628,0.09479499645474943,0.09519491455666303,0.09380867646217132,0.0014258132604287835,20
50,circumferential,Circumferential,2,0.4124888665943889,0.2903939752973324,0.37254484263158405,0.43984028094058614,0.4782138501294482,0.4025094746438233,0.057864213552092224,20
50,circumferential,Circumferential,3,0.349366357283881,0.2509439813011786,0.3364119955878293,0.3717820845314401,0.40119950214713435,0.3463226647904919,0.04815944903836007,20
50,circumferential,Circumferential,4,0.312648783341845,0.22015351070148031,0.2995649275095513,0.33876310430643386,0.3602272816193168,0.30864828956308454,0.04383762203276746,20
50,circumferential,Circumferential,5,0.2900082578652414,0.20166718372762754,0.26525204216528264,0.3061614072922949,0.322027698670519,0.2805074410817882,0.0391492351924113,20
50,circumferential,Circumferential,6,0.27010687591711946,0.18418512302727658,0.23789135816707807,0.2849414180354035,0.3049952450535352,0.25979985035011743,0.04009476127018184,20
