dataset_key,city,strategy,sample_size,time_aggregation,time_index,n_days_total,n_days_evaluated,ape_mean_pct,ape_median_pct,ape_p75_pct,ape_p95_pct,absolute_error_mean_ugm3,absolute_error_median_ugm3,absolute_error_p75_ugm3,absolute_error_p95_ugm3,median_subset_valid_sensors,min_subset_valid_sensors,reference_mean_ugm3,subset_mean_ugm3,n_reference_valid,n_subset_valid,ape_pct,absolute_error_ugm3,n_draws,daily_p95_ape_median_across_fixed_subsets_pct,daily_p95_absolute_error_median_across_fixed_subsets_ugm3,strategy_label
chicago_lcs_corrected_no_collocation,Chicago,random_fixed,20,period,study_period,,,,,,,,,,,,,10.253490712654873,10.236249792402242,277.0,20.0,0.1681468363876501,0.017240920252630687,,,,Random
chicago_lcs_corrected_no_collocation,Chicago,max_ess,20,period,study_period,,,,,,,,,,,,,10.253490712654873,9.321133039315459,277.0,20.0,9.093075709218686,0.9323576733394141,,,,Max ESS
chicago_lcs_corrected_no_collocation,Chicago,min_pred_var,20,period,study_period,,,,,,,,,,,,,10.253490712654873,10.312450357486757,277.0,20.0,0.5750202197883261,0.05895964483188365,,,,Min Pred. Var.
chicago_lcs_corrected_no_collocation,Chicago,min_ess,20,period,study_period,,,,,,,,,,,,,10.253490712654873,10.403372361305347,277.0,20.0,1.461762173007971,0.14988164865047438,,,,Min ESS
dhaka_lcs,Dhaka,random_fixed_mc,5,daily,all_days,365.0,365.0,9.765994360036709,9.18517072493239,11.343694727324465,15.618065556520193,3.323316431787114,3.1390547135516904,3.7764437378014395,5.220605657049274,,,,,,,,,10000.0,26.527026775846252,17.562695051597764,Fixed random MC median
dhaka_lcs,Dhaka,random_fixed_mc,5,period,study_period,,,,,10.1361851130784,17.310412205240528,,,5.5898241522786165,9.546210842765971,,,55.14721850399361,,35.0,5.0,5.8832773960983635,3.24446384082243,10000.0,,,Fixed random MC median
dhaka_lcs,Dhaka,random_fixed_mc,10,daily,all_days,365.0,365.0,6.540296558546354,6.137384640339739,7.584722053313854,10.331071771230832,2.2124768691407293,2.0855655168852696,2.527025388959931,3.4068775311750286,,,,,,,,,10000.0,17.65265428745526,11.774041648879981,Fixed random MC median
dhaka_lcs,Dhaka,random_fixed_mc,10,period,study_period,,,,,6.693604516087093,11.14610265322491,,,3.6913367082797333,6.1467655848533695,,,55.14721850399361,,35.0,10.0,3.924345751992949,2.164167526703743,10000.0,,,Fixed random MC median
dhaka_lcs,Dhaka,random_fixed_mc,20,daily,all_days,365.0,365.0,3.5851511271383742,3.363648665039797,4.141008037050627,5.667747392053967,1.2112236785076187,1.1440743119317283,1.3800963553371526,1.85396821124432,,,,,,,,,10000.0,9.745616939467489,6.48837929676931,Fixed random MC median
dhaka_lcs,Dhaka,random_fixed_mc,20,period,study_period,,,,,3.6323724655029026,6.044677313656589,,,2.0031523804297855,3.3334714060235298,,,55.14721850399361,,35.0,20.0,2.1201914762771157,1.1692266261255888,10000.0,,,Fixed random MC median
lucknow_lcs,Lucknow,random_fixed_mc,5,daily,all_days,365.0,365.0,8.035964358254942,7.334964773740882,9.527948747308539,14.251324233224972,2.9976742150440576,2.710147960928893,3.5655713146948163,5.362522626452822,,,,,,,,,10000.0,22.398818113215384,20.317365893652862,Fixed random MC median
lucknow_lcs,Lucknow,random_fixed_mc,5,period,study_period,,,,,13.634392534253962,22.89164148124857,,,8.42636035536384,14.14754781059631,,,61.802242631595966,,71.0,5.0,8.038502917011012,4.967975076719064,10000.0,,,Fixed random MC median
lucknow_lcs,Lucknow,random_fixed_mc,10,daily,all_days,365.0,365.0,5.63679339205969,5.0777536004632555,6.525351460566379,9.971913833008946,2.079106952098611,1.8808389603353017,2.400155428826622,3.6273365730798335,,,,,,,,,10000.0,16.34781608479601,14.613355475233902,Fixed random MC median
