dataset_key,city,sample_size,strategy,strategy_label,selection_order,sensor_index,sensor_id,station_name,latitude,longitude
lucknow_lcs,Lucknow,20,random_fixed,Random,17,57,81432147054,Malhaur,26.8517,81.05057
lucknow_lcs,Lucknow,20,random_fixed,Random,18,63,81432147062,Tiwariganj,26.89134,81.07359
lucknow_lcs,Lucknow,20,random_fixed,Random,19,66,81432147068,Badal Khera,26.83256,80.86087
lucknow_lcs,Lucknow,20,random_fixed,Random,20,69,81432147072,Haroiya,26.65826,81.15739
lucknow_lcs,Lucknow,20,max_ess,Max ESS,1,5,81432131002,Dubagga,26.85468,80.85959
lucknow_lcs,Lucknow,20,max_ess,Max ESS,2,13,81432131013,Kakori,26.9043353,80.7653765
lucknow_lcs,Lucknow,20,max_ess,Max ESS,3,18,81432144007,Dashauli,26.95845,80.99923
lucknow_lcs,Lucknow,20,max_ess,Max ESS,4,19,81432144008,Chak Ganjaria,26.79835,81.02416
lucknow_lcs,Lucknow,20,max_ess,Max ESS,5,21,81432144014,Nigoha,26.55383,81.04667
lucknow_lcs,Lucknow,20,max_ess,Max ESS,6,22,81432144015,Mohanlalganj,26.65071,80.99416
lucknow_lcs,Lucknow,20,max_ess,Max ESS,7,25,81432144019,Mubarakpur,26.93487,80.89838
lucknow_lcs,Lucknow,20,max_ess,Max ESS,8,29,81432144023,Mohammadpur,27.02779,80.93745
lucknow_lcs,Lucknow,20,max_ess,Max ESS,9,32,81432144026,Itaunja,27.06729,80.89501
lucknow_lcs,Lucknow,20,max_ess,Max ESS,10,39,81432147023,Piparsand,26.74666,80.81857
lucknow_lcs,Lucknow,20,max_ess,Max ESS,11,42,81432147036,Telibagh,26.79017,80.95862
lucknow_lcs,Lucknow,20,max_ess,Max ESS,12,44,81432147038,Mall,27.01277,80.73623
lucknow_lcs,Lucknow,20,max_ess,Max ESS,13,45,81432147039,Nagram,26.61845,81.14324
lucknow_lcs,Lucknow,20,max_ess,Max ESS,14,46,81432147040,"Amethi, jagdishpur",26.75155,81.15767
lucknow_lcs,Lucknow,20,max_ess,Max ESS,15,49,81432147044,Rahta,27.03761,80.65654
lucknow_lcs,Lucknow,20,max_ess,Max ESS,16,53,81432147049,Bijnor,26.73427,80.89255
