Sensor_ID,Latitude,Longitude,Station_Name
DRZTP3103,41.87855645,-87.77003805377,Austin 7
DSHWY2305,41.9490356,-87.72654561437,Irving Park 3
DSHYP2656,41.75200485,-87.65331955036,Auburn Gresham 2
DSKDX3738,41.8283089,-87.63464506378,Armour Square 3
DSKEW3707,41.72629795,-87.63656666475,Washington Heights 2
DSMXS8409,41.7259095,-87.56951339891,Calumet Heights 2
DSSQU9498,41.89454935,-87.63665349659,Near North Side 4
DSZQR8376,41.67519010855,-87.53588600368,Hegewisch 1
DTCRA7818,41.7772479,-87.73660460279,West Lawn 1
DTFVD6048,41.67589005,-87.60362888146,Riverdale 1
DTKNM4892,41.7059059,-87.65691952734,Beverly 3
DTQTJ0507,41.8404121,-87.61910230081,Douglas 1
DTUGZ9693,41.93498346759,-87.63645802882,Lake View 3
DTVYY1142,41.85322215,-87.65232092746,Lower West Side 3
DTYDP5264,41.9884148,-87.81462388174,Norwood Park 1
DUBCZ6179,41.8910837,-87.73674123708,Humboldt Park 5
DUDWN9545,41.75226525,-87.72071577079,Ashburn 2
DUGYZ8163,41.7524136,-87.68538850711,Ashburn 4
DUIZW8642,41.9764404,-87.81663050627,Norwood Park 5
DUNKA8014,41.9803401,-87.74288842798,North Park 3
DUSKD5383,41.9494264,-87.81722894476,Dunning 2
DUUZN2841,41.9218112,-87.69063657846,Logan Square 3
DUVHI0112,41.88099208346,-87.636806094,Loop 1
DUXLQ7589,41.9752872,-87.72557704251,Albany Park 1
DVCHA9392,41.78987765,-87.68662485,Gage Park 3
DVCMB9343,41.9356698,-87.7630005645,Belmont Cragin 2
DVNGV1890,41.71389143635,-87.61998237196,Roseland 2
DVPEA0040,41.75224785,-87.66918975846,Auburn Gresham 1
DVPZF1960,41.86523824401,-87.63522699006,Near West Side 4
DVRBW4874,41.92963275,-87.71893702782,Logan Square 1
DVWMK9661,41.89083265,-87.71959863711,Humboldt Park 4
DVYCN4987,41.964742,-87.749434,Mayfair Collocation 2
DWBTT8209,42.017003,-87.816509,Edison Park 1
DWCTD3003,41.68755215,-87.53597050294,East Side 4
DWEIE9311,41.8278059,-87.65209362443,Bridgeport 2
DWEWU1433,41.9037571,-87.76961617758,Austin 9
DWFRI5691,41.9036584,-87.7359956871,Humboldt Park 1
DWGYM0810,41.7505205,-87.58579258994,Avalon Park 1
DWKUZ0134,41.965175,-87.876252,Schiller Park Collocation 1
DWMKK1484,41.802534,-87.68644672022,Gage Park 2
DWMLU4849,41.94171985,-87.7524262436,Portage Park 4
DWMUZ3935,41.96231835,-87.69021417612,Lincoln Square 2
DWRMS8182,41.7514325,-87.56903725191,South Chicago 1
DWTBK5575,41.81505595,-87.70319663856,Brighton Park 3
DWTBM7891,41.77673266667,-87.60245566667,Woodlawn 1
DWZPM1574,41.89110265,-87.68577505409,West Town 5
DWZRL1539,41.916261,-87.73604474675,Hermosa 2
DXEMM9791,41.7389797,-87.60272773313,Chatham 2
DXHCB5919,41.97559665,-87.65386596903,Uptown 2
DXHYE9278,41.64887855,-87.56940151087,Hegewisch 5
DXIGM4223,41.73950785,-87.70388676765,Ashburn 6
DXRZC4102,41.8149286,-87.66950393452,New City 1
DXUQX7513,41.73966255,-87.73740646472,Ashburn 8
DXWXZ1902,41.71372895,-87.56962240594,South Deering 1
DXXAJ4778,41.7648253,-87.72039625876,West Lawn 3
DYDVV6312,41.90346745,-87.71910871226,Humboldt Park 2
DYGHJ0891,41.7742202,-87.799271931,Clearing 1
DYHTK6723,41.73916155,-87.6202683,Chatham 1
DYLLV9237,41.94900945,-87.76278188336,Portage Park 5
DYRMT9480,42.01638365,-87.68983284926,West Ridge 2
DYSHC8669,41.7772231,-87.68679669713,Chicago Lawn 2
DYUGS4351,41.87840975,-87.70263428384,East Garfield Park 2
DYWEY8508,41.9485634,-87.6540142756,Lake View 2
DYWHJ8696,41.7773501,-87.7035278237,Chicago Lawn 1
DYWWS0378,41.96225355,-87.67205436321,Uptown 4
DYZXT2661,41.79001015,-87.61876673066,Washington Park 1
DZBHR9476,41.85326985,-87.61952604024,Near South Side 2
DZBKX0961,41.8130536,-87.60098186266,Kenwood 1
DZCNZ4799,41.9487138,-87.6903309,North Center 1
DZFFW4078,41.6503081,-87.5365747,Hegewisch 3
DZFVS4727,41.96208095,-87.65418214875,Uptown 3
DZIEF7974,41.7391003,-87.67021444445,Auburn Gresham 5
DZIHS7092,41.81532825168,-87.71997399657,Archer Heights 2
DZKWB0839,41.71325825,-87.53592341667,East Side 2
DZLAV7766,41.8787019,-87.75315257212,Austin 4
DZTFU6199,41.73968055,-87.72068312695,Ashburn 7
DZUWB2477,41.86579905,-87.73621350561,North Lawndale 1
